<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01001-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,6"
"FovCount,194"
"FovCounted,194"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.35"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CCNO,NM_021147.4,24"
"Endogenous,MYC,NM_002467.3,105"
"Endogenous,CD79A,NM_001783.3,9"
"Endogenous,FSTL3,NM_005860.2,103"
"Endogenous,VCAN,NM_001126336.2,3362"
"Endogenous,CX3CL1,NM_002996.3,197"
"Endogenous,ERBB2,NM_004448.2,566"
"Endogenous,FAM124B,NM_001122779.1,38"
"Endogenous,AKT1,NM_005163.2,779"
"Endogenous,KDR,NM_002253.2,65"
"Endogenous,EGF,NM_001178130.2,52"
"Endogenous,MAGEA12,NM_001166386.1,16"
"Endogenous,IFNA1,NM_024013.1,21"
"Endogenous,TGFB3,NM_001329938.1,236"
"Endogenous,MFGE8,NM_001114614.1,1203"
"Endogenous,CXCL2,NM_002089.1,166"
"Endogenous,CCND2,NM_001759.2,349"
"Endogenous,PDZK1IP1,NM_005764.3,145"
"Endogenous,JAG2,NM_002226.4,24"
"Endogenous,C5,NM_001317163.1,92"
"Endogenous,CD79B,NM_001039933.1,7"
"Endogenous,CXCR2,NM_001557.3,51"
"Endogenous,PSMB10,NM_002801.3,88"
"Endogenous,ZEB1,NM_001128128.2,315"
"Endogenous,ANLN,NM_018685.2,33"
"Endogenous,TAF3,NM_031923.3,13"
"Endogenous,CD276,NM_001024736.1,522"
"Endogenous,ICAM1,NM_000201.2,68"
"Endogenous,IL16,NM_004513.4,206"
"Endogenous,CXCL3,NM_002090.2,24"
"Endogenous,PRR5,NM_015366.3,53"
"Endogenous,CTSW,NM_001335.3,20"
"Endogenous,CXCR4,NM_001008540.1,391"
"Endogenous,IFNGR2,NM_005534.3,545"
"Endogenous,CDH11,NM_001797.2,1976"
"Endogenous,COL6A3,NM_004369.3,3523"
"Endogenous,GZMK,NM_002104.2,45"
"Endogenous,IRF2,NM_002199.3,202"
"Endogenous,RPL7A,NM_000972.2,3808"
"Endogenous,GPR160,NM_014373.1,629"
"Endogenous,MICA,NM_000247.1,167"
"Endogenous,TAPBPL,NM_018009.4,93"
"Endogenous,CXCL14,NM_004887.4,675"
"Endogenous,CD14,NM_001174105.1,88"
"Endogenous,IL18,NM_001243211.1,127"
"Endogenous,CLEC14A,NM_175060.1,47"
"Endogenous,HMGB1,NM_002128.5,127"
"Endogenous,KIF2C,NM_006845.2,17"
"Endogenous,RNLS,NM_001031709.2,41"
"Endogenous,RPTOR,NM_001163034.1,109"
"Endogenous,CD68,NM_001251.2,152"
"Endogenous,CCL13,NM_005408.2,7"
"Endogenous,CYBB,NM_000397.3,474"
"Endogenous,PLA2G2A,NM_000300.2,11"
"Endogenous,FGF13,NM_001139498.1,40"
"Endogenous,CNTFR,NM_147164.2,16"
"Endogenous,CD244,NM_001166663.1,20"
"Endogenous,CSF2RB,NM_000395.2,14"
"Endogenous,MAP3K7,NM_003188.3,435"
"Endogenous,FASLG,NM_000639.2,22"
"Endogenous,CD209,NM_021155.2,21"
"Endogenous,IRF7,NM_004029.2,195"
"Endogenous,PTCD2,NM_001284403.1,78"
"Endogenous,PIK3R2,NM_005027.3,188"
"Endogenous,LILRA5,NM_181879.2,23"
"Endogenous,IL32,NM_004221.4,237"
"Endogenous,CCND3,NM_001136017.2,68"
"Endogenous,BIRC5,NM_001168.2,41"
"Endogenous,LGALS9,NM_002308.3,45"
"Endogenous,RASAL1,NM_001193520.1,28"
"Endogenous,PDCD1LG2,NM_025239.3,44"
"Endogenous,IL11,NM_000641.3,50"
"Endogenous,PRKX,NM_005044.4,13"
"Endogenous,SNCA,NM_001146055.1,57"
"Endogenous,ADGRE1,NM_001256252.1,28"
"Endogenous,PSMB9,NM_002800.4,56"
"Endogenous,RUNX3,NM_001031680.2,43"
"Endogenous,PGPEP1,NM_001300927.1,43"
"Endogenous,MELK,NM_014791.2,45"
"Endogenous,ISG15,NM_005101.3,90"
