<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,2"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,1.63"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CLEC7A,NM_197954.2,252"
"Endogenous,TNFRSF4,NM_003327.3,50"
"Endogenous,MS4A6A,NM_152852.2,136"
"Endogenous,ANGPT2,NM_001147.2,389"
"Endogenous,APH1B,NM_001145646.1,398"
"Endogenous,RORC,NM_001001523.1,228"
"Endogenous,NECTIN2,NM_001042724.1,3515"
"Endogenous,DPP4,NM_001935.3,119"
"Endogenous,CCL2,NM_002982.3,1712"
"Endogenous,NF1,NM_000267.3,571"
"Endogenous,S100A9,NM_002965.3,81"
"Endogenous,NFKBIA,NM_020529.2,5481"
"Endogenous,BNIP3L,NM_001330491.1,1297"
"Endogenous,CST2,NM_001322.2,273"
"Endogenous,APOL6,NM_030641.3,730"
"Endogenous,BRD4,NM_001330384.1,2266"
"Endogenous,SLC16A1,NM_003051.3,199"
"Endogenous,THBD,NM_000361.2,153"
"Endogenous,TIGIT,NM_173799.2,88"
"Endogenous,VSIR,NM_022153.1,143"
"Endogenous,TRIM21,NM_003141.3,449"
"Endogenous,NBN,NM_002485.4,1061"
"Endogenous,WNT4,NM_030761.4,108"
"Endogenous,CXCL8,NM_000584.3,64"
"Endogenous,FGF9,NM_002010.2,20"
"Endogenous,C5AR1,NM_001736.3,114"
"Endogenous,TNFRSF1B,NM_001066.2,425"
"Endogenous,HLA-DRB5,NM_002125.3,7"
"Endogenous,GLUL,NM_002065.6,4901"
"Endogenous,LY9,NM_001033667.2,60"
"Endogenous,TAP1,NM_000593.5,606"
"Endogenous,IFIH1,NM_022168.3,1614"
"Endogenous,DEPTOR,NM_001283012.1,307"
"Endogenous,CSF1R,NM_005211.3,806"
"Endogenous,MARCO,NM_006770.3,24"
"Endogenous,NFIL3,NM_001289999.1,596"
"Endogenous,IKBKG,NM_001099856.4,448"
"Endogenous,CD58,NM_001144822.1,90"
"Endogenous,LOXL2,NM_002318.2,336"
"Endogenous,SPRY4,NM_030964.3,384"
"Endogenous,NFAM1,NM_145912.5,81"
"Endogenous,SYK,NM_003177.5,354"
"Endogenous,COMP,NM_000095.2,612"
"Endogenous,IFI6,NM_002038.3,14987"
"Endogenous,RASGRF1,NM_001145648.1,52"
"Endogenous,HDAC5,NM_001015053.1,616"
"Endogenous,BAMBI,NM_012342.2,1873"
"Endogenous,MAGEC1,NM_005462.4,17"
"Endogenous,FYN,NM_002037.5,776"
"Endogenous,TNFSF4,NM_001297562.1,158"
"Endogenous,CD274,NM_014143.3,95"
"Endogenous,PRKACB,NM_182948.2,214"
"Endogenous,IFIT2,NM_001547.4,676"
"Endogenous,PPARG,NM_005037.5,179"
"Endogenous,PTEN,NM_000314.6,802"
"Endogenous,FOXP3,NM_014009.3,121"
"Endogenous,SREBF1,NM_001005291.1,7254"
"Endogenous,CD36,NM_001001548.2,1202"
"Endogenous,AXIN1,NM_181050.1,294"
"Endogenous,KLRK1,NM_007360.3,76"
"Endogenous,GBP1,NM_002053.2,385"
"Endogenous,CXCL11,NM_005409.4,475"
"Endogenous,CXCL10,NM_001565.3,1681"
"Endogenous,RIPK1,NM_003804.3,1246"
"Endogenous,REN,NM_000537.3,14"
"Endogenous,PRF1,NM_001083116.1,77"
