code_class,gene,type,mean_count,log2_transformed
Endogenous,PTCD2,pre,149.8,7.2268938135713885
Endogenous,PTCD2,post,127,6.9886846867721655
Endogenous,PIK3R2,pre,748.6,9.548051238012599
Endogenous,PIK3R2,post,198,7.6293566200796095
Endogenous,LILRA5,pre,45.6,5.5109619192773796
Endogenous,LILRA5,post,29.2,4.867896463992655
Endogenous,IL32,pre,831.6,9.699745947971008
Endogenous,IL32,post,306.2,8.258330472612425
Endogenous,CCND3,pre,233.8,7.869131119644294
Endogenous,CCND3,post,75,6.22881869049588
Endogenous,BIRC5,pre,190.3,7.572131751386659
Endogenous,BIRC5,post,50.2,5.649615459063409
Endogenous,LGALS9,pre,159.4,7.316507819103109
Endogenous,LGALS9,post,44,5.459431618637297
Endogenous,RASAL1,pre,35.5,5.149747119504682
Endogenous,RASAL1,post,33.2,5.053111336459563
Endogenous,PDCD1LG2,pre,79.6,6.314696525656286
Endogenous,PDCD1LG2,post,52,5.700439718141092
Endogenous,IL11,pre,87,6.442943495848728
Endogenous,IL11,post,40.8,5.350497247084133
Endogenous,PRKX,pre,16.6,4.053111336459563
Endogenous,PRKX,post,16.6,4.053111336459563
Endogenous,SNCA,pre,36.8,5.20163386116965
Endogenous,SNCA,post,57.8,5.8529975876133165
Endogenous,ADGRE1,pre,33.2,5.053111336459563
Endogenous,ADGRE1,post,23.4,4.548436624696042
Endogenous,PSMB9,pre,242.6,7.922435740233148
Endogenous,PSMB9,post,74.8,6.224966365000275
Endogenous,RUNX3,pre,138.8,7.116863757690899
Endogenous,RUNX3,post,41.5,5.3750394313469245
Endogenous,PGPEP1,pre,184.4,7.526694845541976
Endogenous,PGPEP1,post,47.5,5.569855608330948
Endogenous,MELK,pre,120.8,6.916476644437717
Endogenous,MELK,post,55.8,5.802193216941825
Endogenous,ISG15,pre,806.8,9.656067273725599
Endogenous,ISG15,post,228.8,7.837943241891027
Endogenous,EIF2B4,pre,301.2,8.234577959784566
Endogenous,EIF2B4,post,101,6.658211482751795
Endogenous,IRF9,pre,974,9.927777962082342
Endogenous,IRF9,post,323,8.335390354693924
Endogenous,IL1A,pre,62,5.954196310386875
Endogenous,IL1A,post,30,4.906890595608519
Endogenous,FCRL2,pre,26.8,4.74416109557041
Endogenous,FCRL2,post,21,4.392317422778761
Endogenous,EIF4EBP1,pre,887.2,9.793115555274348
Endogenous,EIF4EBP1,post,186.2,7.540709262671431
Endogenous,LTBP1,pre,225,7.813781191217037
Endogenous,LTBP1,post,161,7.330916878114617
Endogenous,CD40LG,pre,25.7,4.683696454306515
Endogenous,CD40LG,post,17.2,4.104336659814735
Endogenous,HEY1,pre,222.2,7.795715006501729
Endogenous,HEY1,post,272,8.087462841250339
Endogenous,HLA-DQA1,pre,2087.6,11.027629591733156
Endogenous,HLA-DQA1,post,715,9.481799431665753
Endogenous,PRLR,pre,806.6,9.655709595518514
Endogenous,PRLR,post,772,9.59245703726808
Endogenous,TNFRSF11A,pre,67.5,6.076815597050831
Endogenous,TNFRSF11A,post,89,6.475733430966398
Endogenous,AREG,pre,104,6.700439718141092
Endogenous,AREG,post,36,5.169925001442312
Endogenous,BBC3,pre,420.8,8.71699089440494
Endogenous,BBC3,post,186,7.539158811108031
Endogenous,EDN1,pre,38.5,5.266786540694901
Endogenous,EDN1,post,45.8,5.517275693209582
Endogenous,PARP12,pre,434.6,8.76354436429392
Endogenous,PARP12,post,180.2,7.493455200926176
Endogenous,PIK3CG,pre,120.2,6.9092930858238235
Endogenous,PIK3CG,post,81.5,6.348728154231077
Endogenous,IL4,pre,13.2,3.722466024471091
Endogenous,IL4,post,15,3.9068905956085187
Endogenous,F2RL1,pre,111.2,6.797012977836145
Endogenous,F2RL1,post,61.4,5.940166750482817
Endogenous,CXCL6,pre,13.8,3.786596361890807
Endogenous,CXCL6,post,19.2,4.2630344058337934
Endogenous,TNFSF18,pre,20,4.321928094887363
Endogenous,TNFSF18,post,24,4.584962500721156
Endogenous,JAK3,pre,99.4,6.635173946674924
Endogenous,JAK3,post,34,5.087462841250339
Endogenous,NKG7,pre,266,8.055282435501189
Endogenous,NKG7,post,76.5,6.257387842692652
Endogenous,TAPBP,pre,1487,10.53818893205242
Endogenous,TAPBP,post,505.8,8.982423226775877
Endogenous,MTOR,pre,499.8,8.965207091199341
Endogenous,MTOR,post,166.5,7.379378367071262
Endogenous,SELP,pre,27.2,4.765534746362977
Endogenous,SELP,post,23.2,4.53605290024021
Endogenous,HLA-E,pre,2534,11.30720080914081
Endogenous,HLA-E,post,826.2,9.690347249968758
Endogenous,GOT1,pre,491.4,8.940754047474803
Endogenous,GOT1,post,231.8,7.856736756119109
Endogenous,SMAP1,pre,432,8.754887502163468
Endogenous,SMAP1,post,218,7.768184324776926
Endogenous,CDKN1A,pre,636.8,9.314696525656286
