<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01002"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,4"
"FovCount,194"
"FovCounted,194"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.38"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CCNO,NM_021147.4,14"
"Endogenous,MYC,NM_002467.3,632"
"Endogenous,CD79A,NM_001783.3,10"
"Endogenous,FSTL3,NM_005860.2,45"
"Endogenous,VCAN,NM_001126336.2,1141"
"Endogenous,CX3CL1,NM_002996.3,59"
"Endogenous,ERBB2,NM_004448.2,315"
"Endogenous,FAM124B,NM_001122779.1,21"
"Endogenous,AKT1,NM_005163.2,1050"
"Endogenous,KDR,NM_002253.2,79"
"Endogenous,EGF,NM_001178130.2,78"
"Endogenous,MAGEA12,NM_001166386.1,125"
"Endogenous,IFNA1,NM_024013.1,65"
"Endogenous,TGFB3,NM_001329938.1,75"
"Endogenous,MFGE8,NM_001114614.1,528"
"Endogenous,CXCL2,NM_002089.1,87"
"Endogenous,CCND2,NM_001759.2,144"
"Endogenous,PDZK1IP1,NM_005764.3,27"
"Endogenous,JAG2,NM_002226.4,38"
"Endogenous,C5,NM_001317163.1,21"
"Endogenous,CD79B,NM_001039933.1,13"
"Endogenous,CXCR2,NM_001557.3,17"
"Endogenous,PSMB10,NM_002801.3,79"
"Endogenous,ZEB1,NM_001128128.2,138"
"Endogenous,ANLN,NM_018685.2,121"
"Endogenous,TAF3,NM_031923.3,19"
"Endogenous,CD276,NM_001024736.1,939"
"Endogenous,ICAM1,NM_000201.2,70"
"Endogenous,IL16,NM_004513.4,52"
"Endogenous,CXCL3,NM_002090.2,17"
"Endogenous,PRR5,NM_015366.3,48"
"Endogenous,CTSW,NM_001335.3,13"
"Endogenous,CXCR4,NM_001008540.1,298"
"Endogenous,IFNGR2,NM_005534.3,483"
"Endogenous,CDH11,NM_001797.2,725"
"Endogenous,COL6A3,NM_004369.3,1878"
"Endogenous,GZMK,NM_002104.2,17"
"Endogenous,IRF2,NM_002199.3,165"
"Endogenous,RPL7A,NM_000972.2,2589"
"Endogenous,GPR160,NM_014373.1,198"
"Endogenous,MICA,NM_000247.1,52"
"Endogenous,TAPBPL,NM_018009.4,88"
"Endogenous,CXCL14,NM_004887.4,167"
"Endogenous,CD14,NM_001174105.1,88"
"Endogenous,IL18,NM_001243211.1,65"
