gene,data,model_object,term,estimate,std.error,statistic,p.value,conf.low,conf.high
CCNO,,,(Intercept),5.72801912891958,0.6993845962813784,8.190084767916545,7.843363175614216e-5,4.074237351362203,7.381800906476956
CCNO,,,bin_treatment,-1.6233771904025027,0.9383228998208452,-1.730083738457684,0.12723452066169424,-3.84215827514374,0.5954038943387348
MYC,,,(Intercept),7.832984179663037,0.7069926875122958,11.079300137070806,1.0844597198861084e-5,6.161212125072703,9.504756234253371
MYC,,,bin_treatment,-0.183911077068578,0.948530225323656,-0.19389058161623068,0.8517680560471408,-2.4268286512376633,2.0590064971005075
CD79A,,,(Intercept),4.7833319691956016,0.3875471465937591,12.342580796265448,1.7250733204024624e-5,3.835038263317916,5.731625675073287
CD79A,,,bin_treatment,-1.1476344538068757,0.5480744307718882,-2.0939390516550622,0.08115498218199312,-2.488724273772142,0.19345536615839043
FSTL3,,,(Intercept),6.131040813597327,0.36577438962196107,16.761809977822512,6.58066514512372e-7,5.266121821285689,6.9959598059089645
FSTL3,,,bin_treatment,0.013352236056582971,0.5486615844329416,0.024336014103088544,0.9812637988080437,-1.2840262524108728,1.3107307245240387
VCAN,,,(Intercept),11.458920912039241,0.5221614467957696,21.945168457680317,1.0301542356432249e-7,10.224205291699189,12.693636532379294
VCAN,,,bin_treatment,-0.27298085462440663,0.7832421701936545,-0.3485267584059128,0.7376917706000905,-2.1250542851344854,1.579092575885672
CX3CL1,,,(Intercept),6.942894778733765,0.4598611951128138,15.097805278026392,5.323427507678519e-6,5.8176549705305325,8.068134586937
CX3CL1,,,bin_treatment,-0.06525397663305899,0.6503419389376414,-0.10033794950953628,0.9233447716365573,-1.6565833743161713,1.5260754210500531
ERBB2,,,(Intercept),9.713561795605145,0.7126272733962754,13.630634355757612,2.692612798541692e-6,8.02846606258587,11.398657528624419
ERBB2,,,bin_treatment,-1.1420617002163076,1.0689409100944132,-1.0684048944440119,0.32079134164176937,-3.6697052997452193,1.3855818993126041
FAM124B,,,(Intercept),5.815601026946864,0.3697922457402912,15.726671107731176,1.0176478058886626e-6,4.941181314618413,6.690020739275315
FAM124B,,,bin_treatment,-0.48216805351644576,0.5546883686104367,-0.8692593549858214,0.4135150466063334,-1.7937976220091225,0.8294615149762309
AKT1,,,(Intercept),11.12147642157855,0.467712585310187,23.778441656007153,5.9137723769753636e-8,10.015511899578922,12.227440943578177
AKT1,,,bin_treatment,-1.1507429751384362,0.7015688779652804,-1.6402423358286207,0.14496143099594141,-2.809689758137877,0.5082038078610047
KDR,,,(Intercept),7.665181672164806,0.4002262465286959,19.152121427936432,1.3106949341300912e-6,6.685863326394472,8.64450001793514
KDR,,,bin_treatment,-0.5489850546818784,0.6535667237764348,-0.8399831795439902,0.4331073056871497,-2.1482052166044268,1.0502351072406702
EGF,,,(Intercept),5.98066503791495,0.6484685892677183,9.222752091459977,9.169956701887668e-5,4.393919561740511,7.5674105140893895
EGF,,,bin_treatment,-0.18385247472810748,1.058944771952236,-0.17361856784009902,0.8678746701040111,-2.7749969869260402,2.4072920374698255
MAGEA12,,,(Intercept),3.422062577283295,0.2215770587520538,15.444119515606557,1.1517011397543465e-6,2.8981160905615893,3.9460090640050005
MAGEA12,,,bin_treatment,0.30216464537163373,0.29727681937443423,1.0164420017930933,0.34325649061005453,-0.40078333115752113,1.0051126219007886
IFNA1,,,(Intercept),5.169288796994673,0.3381198255457816,15.288333917274981,1.234159956153629e-6,4.369762457564796,5.968815136424549
IFNA1,,,bin_treatment,-0.4172158392602679,0.5071797383186724,-0.8226192959587867,0.43784535132850444,-1.6165053484050826,0.782073669884547
TGFB3,,,(Intercept),8.136632829581822,0.6699413514588163,12.145291243575388,5.864713217512804e-6,6.55247326277746,9.720792396386184
TGFB3,,,bin_treatment,-0.5984353133679475,1.0049120271882244,-0.5955101513138303,0.5702463773292183,-2.9746746635744903,1.7778040368385954
MFGE8,,,(Intercept),10.189739172796275,0.49006780153789486,20.79250899736645,1.4952774827014816e-7,9.030912964355009,11.34856538123754
MFGE8,,,bin_treatment,-0.7090585472397474,0.7351017023068422,-0.964572038147418,0.36689110130635655,-2.447297859901646,1.0291807654221516
CXCL2,,,(Intercept),5.537278928244791,0.394521301279828,14.035437149481778,8.160765187118064e-6,4.571920080614046,6.502637775875536
CXCL2,,,bin_treatment,-0.30860235517630674,0.5579373749150147,-0.5531128923265146,0.6001723779579584,-1.6738259300525695,1.0566212196999563
CCND2,,,(Intercept),8.547838765360385,0.5118344106419832,16.70039877670399,2.9421933739114896e-6,7.295425080136717,9.800252450584054
CCND2,,,bin_treatment,-0.4281461912808049,0.7238431652191327,-0.5914902728289076,0.5757833173390441,-2.1993266106257865,1.3430342280641767
PDZK1IP1,,,(Intercept),6.584879042670269,0.829403776896271,7.939292327931856,9.568909781796499e-5,4.623650757458696,8.546107327881842
PDZK1IP1,,,bin_treatment,-2.095494410052021,1.2441056653444063,-1.6843379693733045,0.13598814883633342,-5.037336837869381,0.8463480177653384
JAG2,,,(Intercept),5.687986259510718,0.4800648888171032,11.84836965170712,6.924465285261559e-6,4.552813181075602,6.823159337945834
JAG2,,,bin_treatment,-0.9930948905409374,0.7200973332256547,-1.379112023776561,0.2103112416130053,-2.6958545081936105,0.709664727111736
C5,,,(Intercept),6.467959750228865,0.6238597161099206,10.36765090485382,1.6854416413710434e-5,4.992765935923558,7.943153564534173
C5,,,bin_treatment,-0.21494838569496133,0.9357895741648808,-0.22969735037578934,0.8248945051684446,-2.4277391071529233,1.9978423357630004
