<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01003-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,7"
"FovCount,194"
"FovCounted,192"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.38"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,TNFRSF4,NM_003327.3,22"
"Endogenous,MS4A6A,NM_152852.2,137"
"Endogenous,ANGPT2,NM_001147.2,38"
"Endogenous,APH1B,NM_001145646.1,148"
"Endogenous,RORC,NM_001001523.1,127"
"Endogenous,NECTIN2,NM_001042724.1,328"
"Endogenous,DPP4,NM_001935.3,49"
"Endogenous,CCL2,NM_002982.3,265"
"Endogenous,NF1,NM_000267.3,92"
"Endogenous,S100A9,NM_002965.3,316"
"Endogenous,NFKBIA,NM_020529.2,1624"
"Endogenous,BNIP3L,NM_001330491.1,300"
"Endogenous,CST2,NM_001322.2,28"
"Endogenous,APOL6,NM_030641.3,267"
"Endogenous,BRD4,NM_001330384.1,186"
"Endogenous,SLC16A1,NM_003051.3,94"
"Endogenous,THBD,NM_000361.2,24"
"Endogenous,TIGIT,NM_173799.2,83"
"Endogenous,VSIR,NM_022153.1,63"
"Endogenous,TRIM21,NM_003141.3,135"
"Endogenous,NBN,NM_002485.4,310"
"Endogenous,WNT4,NM_030761.4,9"
"Endogenous,CXCL8,NM_000584.3,13"
"Endogenous,FGF9,NM_002010.2,7"
"Endogenous,C5AR1,NM_001736.3,16"
"Endogenous,TNFRSF1B,NM_001066.2,134"
"Endogenous,HLA-DRB5,NM_002125.3,5"
"Endogenous,GLUL,NM_002065.6,3855"
"Endogenous,LY9,NM_001033667.2,67"
"Endogenous,TAP1,NM_000593.5,373"
"Endogenous,IFIH1,NM_022168.3,370"
"Endogenous,DEPTOR,NM_001283012.1,275"
"Endogenous,CSF1R,NM_005211.3,916"
"Endogenous,MARCO,NM_006770.3,11"
"Endogenous,NFIL3,NM_001289999.1,150"
"Endogenous,IKBKG,NM_001099856.4,61"
"Endogenous,CD58,NM_001144822.1,40"
"Endogenous,LOXL2,NM_002318.2,59"
"Endogenous,SPRY4,NM_030964.3,46"
"Endogenous,NFAM1,NM_145912.5,26"
"Endogenous,SYK,NM_003177.5,119"
"Endogenous,COMP,NM_000095.2,184"
"Endogenous,IFI6,NM_002038.3,537"
"Endogenous,RASGRF1,NM_001145648.1,23"
"Endogenous,HDAC5,NM_001015053.1,64"
"Endogenous,BAMBI,NM_012342.2,383"
"Endogenous,MAGEC1,NM_005462.4,15"
"Endogenous,FYN,NM_002037.5,168"
"Endogenous,TNFSF4,NM_001297562.1,35"
"Endogenous,CD274,NM_014143.3,38"
"Endogenous,PRKACB,NM_182948.2,99"
"Endogenous,IFIT2,NM_001547.4,97"
"Endogenous,PPARG,NM_005037.5,80"
"Endogenous,PTEN,NM_000314.6,185"
"Endogenous,FOXP3,NM_014009.3,34"
"Endogenous,SREBF1,NM_001005291.1,1784"
"Endogenous,CD36,NM_001001548.2,263"
"Endogenous,AXIN1,NM_181050.1,48"
"Endogenous,KLRK1,NM_007360.3,97"
"Endogenous,GBP1,NM_002053.2,302"
"Endogenous,CXCL11,NM_005409.4,428"
"Endogenous,CXCL10,NM_001565.3,1341"
"Endogenous,RIPK1,NM_003804.3,293"
"Endogenous,REN,NM_000537.3,5"
"Endogenous,PRF1,NM_001083116.1,26"
"Endogenous,EIF2AK2,NM_001135652.2,433"
"Endogenous,LIF,NM_002309.4,37"
"Endogenous,BRD3,NM_007371.3,297"
"Endogenous,IGF2R,NM_000876.2,195"
"Endogenous,FPR1,NM_002029.3,59"
"Endogenous,DUSP5,NM_004419.3,398"
"Endogenous,APC,NM_001127510.2,287"
"Endogenous,HDAC3,NM_003883.3,146"
"Endogenous,CES3,NM_001185176.1,13"
"Endogenous,OAS2,NM_016817.2,465"
"Endogenous,HDAC11,NM_001330636.1,67"
"Endogenous,THBS1,NM_003246.2,1032"
"Endogenous,SLC11A1,NM_000578.3,15"
"Endogenous,MAGEA3/A6,NM_005362.3,7"
"Endogenous,ARID1A,NM_006015.4,261"
"Endogenous,CD48,NM_001778.3,66"
"Endogenous,GZMA,NM_006144.3,106"
"Endogenous,ICOSLG,NM_015259.4,114"
"Endogenous,PIK3R5,NM_014308.3,99"
"Endogenous,GZMM,NM_005317.2,19"
"Endogenous,WNT5A,NM_003392.3,31"
"Endogenous,TLR4,NR_024168.1,321"
"Endogenous,GZMB,NM_004131.4,10"
"Endogenous,PARP9,NM_001146103.1,336"
"Endogenous,LY96,NM_001195797.1,567"
"Endogenous,RAD50,NM_005732.3,592"
"Endogenous,MX1,NM_001144925.2,57"
"Endogenous,CENPF,NM_016343.3,52"
"Endogenous,SELL,NM_000655.4,34"
"Endogenous,TNFSF10,NM_003810.3,3620"
"Endogenous,IL12RB2,NM_001319233.1,64"
"Endogenous,CXCL9,NM_002416.2,1304"
"Endogenous,TRAT1,NM_016388.3,43"
"Endogenous,STC1,NM_003155.2,32"
"Endogenous,IL2RB,NM_000878.2,130"
"Endogenous,LILRB4,NM_001278426.3,157"
"Endogenous,SOX2,NM_003106.2,5"
"Endogenous,HCK,NM_001172129.1,120"
"Endogenous,WNT2B,NM_001291880.1,24"
"Endogenous,IL1B,NM_000576.2,18"
"Endogenous,TLR1,NM_003263.3,138"
"Endogenous,CCL22,NM_002990.3,23"
"Endogenous,ICAM2,NM_000873.3,83"
"Endogenous,MAP3K12,NM_006301.3,11"
"Endogenous,JAG1,NM_000214.2,222"
"Endogenous,CCL3/L1,NM_021006.5,62"
"Endogenous,SOCS1,NM_003745.1,100"
"Endogenous,BCL2,NM_000633.2,193"
"Endogenous,MAP3K8,NM_001244134.1,204"
"Endogenous,MMP1,NM_002421.2,61"
"Endogenous,CMKLR1,NM_004072.2,172"
"Endogenous,TNFRSF17,NM_001192.2,262"
"Endogenous,TLR8,NM_138636.4,107"
"Endogenous,TPM1,NM_000366.5,279"
"Endogenous,CXorf36,NM_024689.2,99"
"Endogenous,NLRP3,NM_001079821.2,21"
"Endogenous,DEFB134,NM_001302695.1,15"
"Endogenous,HLA-DQA2,NM_020056.4,92"
"Endogenous,CX3CR1,NM_001171171.1,34"
"Endogenous,APLNR,NM_005161.4,25"
"Endogenous,MXI1,NM_001008541.1,52"
"Endogenous,FZD9,NM_003508.2,13"
"Endogenous,COL4A5,NM_000495.4,43"
"Endogenous,FCAR,NM_133278.2,12"
"Endogenous,BRCA2,NM_000059.3,103"
"Endogenous,SFRP4,NM_003014.2,539"
"Endogenous,TLR3,NM_003265.2,165"
"Endogenous,IL2RG,NM_000206.1,362"
"Endogenous,CD84,NM_001184879.1,317"
"Endogenous,HLA-DPA1,NM_033554.2,2838"
"Endogenous,RBL2,NM_001323611.1,550"
"Endogenous,CCL18,NM_002988.3,155"
"Endogenous,IRF3,NM_001197122.1,103"
"Endogenous,TNFRSF8,NM_001243.3,8"
"Endogenous,KIR3DL2,NM_006737.2,8"
"Endogenous,TNFSF13,NM_003808.3,62"
"Endogenous,CLECL1,NM_172004.3,72"
"Endogenous,TNFRSF10B,NM_003842.3,95"
"Endogenous,MAGEC2,NM_016249.3,12"
"Endogenous,CDKN2A,NM_000077.4,101"
"Endogenous,ADM,NM_001124.2,62"
"Endogenous,PNOC,NM_001284244.1,44"
"Endogenous,CD247,NM_198053.2,48"
"Endogenous,PTPRC,NM_080921.3,213"
"Endogenous,OAS3,NM_006187.3,133"
"Endogenous,LAG3,NM_002286.5,136"
"Endogenous,FOSL1,NM_005438.3,80"
"Endogenous,EOMES,NM_001278182.1,118"
"Endogenous,IL10RA,NM_001558.2,284"
"Endogenous,WDR76,NM_024908.3,56"
"Endogenous,GPC4,NM_001448.2,71"
"Endogenous,SLAMF7,NM_021181.3,154"
"Endogenous,RSAD2,NM_080657.4,285"
"Endogenous,TLR5,NM_003268.5,145"
"Endogenous,VEGFA,NM_001171623.1,127"
"Endogenous,COL5A1,NM_000093.4,465"
"Endogenous,CD3D,NM_000732.4,239"
"Endogenous,FBP1,NM_001127628.1,446"
"Endogenous,ERO1A,NM_014584.2,531"
"Endogenous,CCL21,NM_002989.2,29"
"Endogenous,E2F3,NM_001243076.2,147"
"Endogenous,LDHA,NM_001135239.1,1313"
"Endogenous,MS4A1,NM_021950.3,37"
"Endogenous,CD69,NM_001781.2,77"
"Endogenous,SERPINB5,NM_002639.4,19"
"Endogenous,FAP,NM_004460.2,482"
"Endogenous,ITGA2,NM_002203.3,64"
"Endogenous,SIGLEC5,NM_003830.3,28"
"Endogenous,SIRPB2,NM_001134836.1,28"
"Endogenous,EPM2AIP1,NM_014805.3,278"
"Endogenous,FGF18,NM_003862.2,22"
"Endogenous,HRAS,NM_005343.3,54"
"Endogenous,CCND1,NM_053056.2,332"
"Endogenous,LAMB3,NM_000228.2,26"
"Endogenous,ID4,NM_001546.3,31"
"Endogenous,CCL4,NM_002984.2,85"
"Endogenous,GZMH,NM_033423.3,40"
"Endogenous,API5,NM_001142930.1,511"
"Endogenous,PTGER4,NM_000958.2,52"
"Endogenous,ITGB8,NM_002214.2,99"
"Endogenous,TNKS,NM_003747.2,198"
"Endogenous,B2M,NM_004048.2,11795"
"Endogenous,TP53,NM_000546.2,200"
"Endogenous,MAGEB2,NM_002364.4,23"
"Endogenous,LYZ,NM_000239.2,4676"
"Endogenous,NCAM1,NM_000615.6,9"
"Endogenous,TCL1A,NM_001098725.1,5"
"Endogenous,HDC,NM_002112.3,58"
"Endogenous,CD27,NM_001242.4,320"
"Endogenous,SBNO2,NM_001100122.1,121"
"Endogenous,PECAM1,NM_000442.4,1273"
"Endogenous,SERPINH1,NM_001207014.1,121"
"Endogenous,SPP1,NM_000582.2,85"
"Endogenous,EGFR,NM_005228.3,37"
"Endogenous,CASP8,NM_001228.4,60"
"Endogenous,CCNA1,NM_001111045.1,13"
"Endogenous,TNFAIP3,NM_001270508.1,88"
"Endogenous,CDC25C,NM_001790.4,23"
"Endogenous,CXCR6,NM_006564.1,175"
"Endogenous,DLL1,NM_005618.3,20"
"Endogenous,OAS1,NM_001032409.1,248"
"Endogenous,HLA-DQB1,NM_002123.3,403"
"Endogenous,ROBO4,NM_019055.5,29"
"Endogenous,NFKB1,NM_003998.3,349"
"Endogenous,IFI27,NM_005532.3,690"
"Endogenous,HLA-DMB,NM_002118.3,884"
"Endogenous,CDKN1C,NM_000076.2,115"
"Endogenous,CEP55,NM_018131.3,26"
"Endogenous,ARG1,NM_000045.3,16"
"Endogenous,PLOD2,NM_182943.2,137"
"Endogenous,LAIR1,NM_001289023.2,107"
"Endogenous,SHC2,NM_012435.2,44"
"Endogenous,STAT3,NM_003150.3,1013"
"Endogenous,CD45RO,NM_080921.3,758"
"Endogenous,CD2,NM_001767.3,167"
"Endogenous,IL7R,NM_002185.3,149"
"Endogenous,FLNB,NM_001164319.1,714"
"Endogenous,PSMB5,NM_001130725.1,374"
"Endogenous,SLC1A5,NM_001145144.1,561"
"Endogenous,RICTOR,NM_001285439.1,268"
"Endogenous,ZAP70,NM_001079.3,106"
"Endogenous,TNFAIP6,NM_007115.3,54"
"Endogenous,BTLA,NM_001085357.1,30"
"Endogenous,RELA,NM_021975.3,104"
"Endogenous,MMP7,NM_002423.3,48"
"Endogenous,TCF3,NM_003200.3,188"
"Endogenous,IRF8,NM_002163.2,185"
"Endogenous,NOS2,NM_000625.4,9"
"Endogenous,A2M,NM_000014.4,3129"
"Endogenous,CCL20,NM_001130046.1,35"
"Endogenous,MKI67,NM_002417.2,103"
"Endogenous,IFNGR1,NM_000416.2,505"
"Endogenous,INHBA,NM_002192.2,168"
"Endogenous,WNT5B,NM_030775.2,19"
"Endogenous,CXCL5,NM_002994.4,14"
"Endogenous,SOX10,NM_006941.3,16"
"Endogenous,EGR1,NM_001964.2,111"
"Endogenous,STAT4,NM_001243835.1,88"
"Endogenous,IFIT3,NM_001031683.3,112"
"Endogenous,GMIP,NM_001288998.1,18"
"Endogenous,ARNT2,NM_014862.3,32"
"Endogenous,UBE2C,NM_007019.2,67"
"Endogenous,CHUK,NM_001278.4,145"
"Endogenous,GHR,NM_000163.2,76"
"Endogenous,TPI1,NM_000365.5,728"
"Endogenous,HAVCR2,NM_032782.3,249"
"Endogenous,GOT2,NM_002080.3,511"
"Endogenous,PIK3CA,NM_006218.2,189"
"Endogenous,TNFSF9,NM_003811.3,15"
"Endogenous,IDO1,NM_002164.5,117"
