<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01014-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,10"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.41"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,TNFRSF4,NM_003327.3,33"
"Endogenous,MS4A6A,NM_152852.2,107"
"Endogenous,ANGPT2,NM_001147.2,187"
"Endogenous,APH1B,NM_001145646.1,284"
"Endogenous,RORC,NM_001001523.1,108"
"Endogenous,NECTIN2,NM_001042724.1,492"
"Endogenous,DPP4,NM_001935.3,106"
"Endogenous,CCL2,NM_002982.3,375"
"Endogenous,NF1,NM_000267.3,161"
"Endogenous,S100A9,NM_002965.3,46"
"Endogenous,NFKBIA,NM_020529.2,1896"
"Endogenous,BNIP3L,NM_001330491.1,481"
"Endogenous,CST2,NM_001322.2,73"
"Endogenous,APOL6,NM_030641.3,250"
"Endogenous,BRD4,NM_001330384.1,320"
"Endogenous,SLC16A1,NM_003051.3,159"
"Endogenous,THBD,NM_000361.2,30"
"Endogenous,TIGIT,NM_173799.2,24"
"Endogenous,VSIR,NM_022153.1,48"
"Endogenous,TRIM21,NM_003141.3,188"
"Endogenous,NBN,NM_002485.4,320"
"Endogenous,WNT4,NM_030761.4,17"
"Endogenous,CXCL8,NM_000584.3,27"
"Endogenous,FGF9,NM_002010.2,9"
"Endogenous,C5AR1,NM_001736.3,18"
"Endogenous,TNFRSF1B,NM_001066.2,105"
"Endogenous,HLA-DRB5,NM_002125.3,6"
"Endogenous,GLUL,NM_002065.6,1587"
"Endogenous,LY9,NM_001033667.2,26"
"Endogenous,TAP1,NM_000593.5,173"
"Endogenous,IFIH1,NM_022168.3,377"
"Endogenous,DEPTOR,NM_001283012.1,245"
"Endogenous,CSF1R,NM_005211.3,624"
"Endogenous,MARCO,NM_006770.3,23"
"Endogenous,NFIL3,NM_001289999.1,177"
"Endogenous,IKBKG,NM_001099856.4,60"
"Endogenous,CD58,NM_001144822.1,63"
"Endogenous,LOXL2,NM_002318.2,127"
"Endogenous,SPRY4,NM_030964.3,92"
"Endogenous,NFAM1,NM_145912.5,19"
"Endogenous,SYK,NM_003177.5,94"
"Endogenous,COMP,NM_000095.2,208"
"Endogenous,IFI6,NM_002038.3,2681"
"Endogenous,RASGRF1,NM_001145648.1,29"
