treatment,code_class,gene,accesion_number,lower_bound_pre_count,upper_bound_pre_count,lower_bound_post_count,upper_bound_post_count,mean_pre,mean_post,count_value,log2_transformed
0,Endogenous,CX3CR1,NM_001171171.1,-809,1439,-81,247,320.8,69.5,899,9.812177305514448
0,Endogenous,CX3CR1,NM_001171171.1,-809,1439,-81,247,320.8,69.5,34,5.087462841250339
0,Endogenous,CX3CR1,NM_001171171.1,-809,1439,-81,247,320.8,69.5,64,6
1,Endogenous,CX3CR1,NM_001171171.1,-809,1439,-81,247,320.8,69.5,82,6.357552004618084
1,Endogenous,CX3CR1,NM_001171171.1,-809,1439,-81,247,320.8,69.5,124,6.954196310386875
1,Endogenous,CX3CR1,NM_001171171.1,-809,1439,-81,247,320.8,69.5,NA,NA
1,Endogenous,CX3CR1,NM_001171171.1,-809,1439,-81,247,320.8,69.5,30,4.906890595608519
1,Endogenous,CX3CR1,NM_001171171.1,-809,1439,-81,247,320.8,69.5,42,5.392317422778761
0,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,7,2.807354922057604
0,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,161,7.330916878114617
0,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,174,7.442943495848728
0,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,25,4.643856189774724
0,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,45,5.491853096329675
1,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,41,5.357552004618084
1,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,NA,NA
1,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,22,4.459431618637297
1,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,15,3.9068905956085187
1,Endogenous,APLNR,NM_005161.4,-179,365,-6.5,69.5,82.4,26,26,4.700439718141092
0,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,88,6.459431618637297
0,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,797,9.638435913990472
0,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,431,8.751544059089099
0,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,52,5.700439718141092
0,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,115,6.845490050944375
1,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,73,6.189824558880018
1,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,NA,NA
1,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,60,5.906890595608519
1,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,102,6.672425341971495
1,Endogenous,MXI1,NM_001008541.1,-426.5,945.5,4.5,160.5,296.6,74.5,63,5.977279923499917
0,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,16,4
0,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,18,4.169925001442312
0,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,NA,NA
0,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,13,3.700439718141092
0,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,16,4
1,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,15,3.9068905956085187
1,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,19,4.247927513443585
1,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,18,4.169925001442312
1,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,7,2.807354922057604
1,Endogenous,FZD9,NM_003508.2,13,21,-4.5,31.5,15.8,13.6,9,3.169925001442312
0,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,101,6.658211482751795
0,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,1226,10.259743263690781
0,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,1713,10.742309436084
0,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,43,5.426264754702098
0,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,73,6.189824558880018
1,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,354,8.467605550082997
1,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,NA,NA
1,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,149,7.219168520462161
1,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,72,6.169925001442312
1,Endogenous,COL4A5,NM_000495.4,-1656.5,2955.5,-158.5,661.5,631.2,230.5,347,8.43879185257826
0,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,13,3.700439718141092
0,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,26,4.700439718141092
0,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,12,3.584962500721156
0,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,12,3.584962500721156
0,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,21,4.392317422778761
1,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,11,3.4594316186372973
1,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,NA,NA
1,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,10,3.321928094887362
1,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,12,3.584962500721156
1,Endogenous,FCAR,NM_133278.2,-1.5,34.5,7,15,16.8,10.8,10,3.321928094887362
0,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,85,6.409390936137702
0,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,185,7.531381460516312
0,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,151,7.2384047393250786
0,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,103,6.6865005271832185
0,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,109,6.768184324776926
1,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,78,6.285402218862249
1,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,NA,NA
1,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,48,5.584962500721156
1,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,52,5.700439718141092
1,Endogenous,BRCA2,NM_000059.3,31,223,-20,172,126.6,69.5,100,6.643856189774724
0,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,163,7.348728154231077
0,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,810,9.661778097771988
0,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,3873,11.919235786028347
0,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,539,9.074141462752506
0,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,1984,10.954196310386875
1,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,447,8.804131021183318
1,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,NA,NA
1,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,757,9.564149489985732
1,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,337,8.396604781181859
1,Endogenous,SFRP4,NM_003014.2,-1628.5,4151.5,-226.5,1569.5,1473.8,609.2,896,9.807354922057604
0,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,89,6.475733430966398
0,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,321,8.326429487122303
0,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,420,8.714245517666123
0,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,165,7.366322214245816
0,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,68,6.087462841250339
1,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,NA,NA
1,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,NA,NA
1,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,131,7.03342300153745
1,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,107,6.741466986401147
1,Endogenous,TLR3,NM_003265.2,-259,669,71,167,212.6,122.7,130,7.022367813028454
0,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,21,4.392317422778761
0,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,153,7.257387842692652
0,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,355,8.471675214392045
0,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,362,8.499845887083206
0,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,134,7.066089190457772
1,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,22,4.459431618637297
1,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,NA,NA
1,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,54,5.754887502163468
1,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,36,5.169925001442312
1,Endogenous,IL2RG,NM_000206.1,-197.5,686.5,-48,176,205,51,92,6.523561956057013
0,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,60,5.906890595608519
0,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,322,8.330916878114618
0,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,NA,NA
0,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,317,8.308339030139408
0,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,171,7.417852514885898
1,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,87,6.442943495848728
1,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,NA,NA
1,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,143,7.159871336778389
1,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,202,7.658211482751795
1,Endogenous,CD84,NM_001184879.1,-55.5,548.5,-28,428,217.5,172.2,257,8.005624549193879
0,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,330,8.366322214245816
0,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,2305,11.1705510353167
0,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,NA,NA
0,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,2838,11.470658874060552
0,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,1211,10.24198314969433
1,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,591,9.207014320177532
1,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,2564,11.324180546618742
1,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,2880,11.491853096329674
1,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,1142,10.157346935362844
1,Endogenous,HLA-DPA1,NM_033554.2,-1229.5,5278.5,-991,4697,1671,1802,1833,10.839991070539886
0,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,427,8.73809225962049
0,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,2735,11.417325117679919
0,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,2454,11.260919533662905
0,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,550,9.103287808412022
0,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,1228,10.262094845370179
1,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,1334,10.381542951184585
1,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,NA,NA
1,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,525,9.036173612553485
1,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,985,9.943979914343739
1,Endogenous,RBL2,NM_001323611.1,-2306,5310,214,2006,1478.8,932.5,886,9.791162888555018
0,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,135,7.076815597050831
0,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,137,7.098032082960526
0,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,NA,NA
0,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,155,7.2761244052742375
0,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,152,7.247927513443585
1,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,170,7.409390936137702
1,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,NA,NA
1,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,165,7.366322214245816
1,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,142,7.149747119504682
1,Endogenous,CCL18,NM_002988.3,109.5,177.5,107.5,199.5,144.8,155.8,146,7.189824558880018
0,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,126,6.977279923499917
0,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,1171,10.193525360501216
0,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,1026,10.002815015607053
0,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,103,6.6865005271832185
0,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,149,7.219168520462161
1,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,NA,NA
1,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,NA,NA
1,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,142,7.149747119504682
1,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,143,7.159871336778389
1,Endogenous,IRF3,NM_001197122.1,-1224,2376,139,147,515,143,144,7.169925001442312
0,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,4,2
0,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,15,3.9068905956085187
0,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,14,3.807354922057604
0,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,8,3
0,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,7,2.807354922057604
1,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,9,3.169925001442312
1,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,14,3.807354922057604
1,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,12,3.584962500721156
1,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,7,2.807354922057604
1,Endogenous,TNFRSF8,NM_001243.3,-3.5,24.5,3,19,9.6,11,13,3.700439718141092
0,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,NA,NA
0,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,NA,NA
0,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,7,2.807354922057604
0,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,8,3
0,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,7,2.807354922057604
1,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,7,2.807354922057604
1,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,18,4.169925001442312
1,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,11,3.4594316186372973
1,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,12,3.584962500721156
1,Endogenous,KIR3DL2,NM_006737.2,5.5,9.5,-0.5,19.5,7.3,10.6,5,2.321928094887362
0,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,55,5.78135971352466
0,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,616,9.266786540694902
0,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,374,8.546894459887637
0,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,62,5.954196310386875
0,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,55,5.78135971352466
1,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,52,5.700439718141092
1,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,NA,NA
1,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,112,6.807354922057604
1,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,55,5.78135971352466
1,Endogenous,TNFSF13,NM_003808.3,-423.5,852.5,-30.5,197.5,232.4,70.5,63,5.977279923499917
0,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,NA,NA
0,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,77,6.266786540694901
0,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,NA,NA
0,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,72,6.169925001442312
0,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,58,5.857980995127572
1,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,NA,NA
1,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,NA,NA
1,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,46,5.523561956057013
1,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,42,5.392317422778761
1,Endogenous,CLECL1,NM_172004.3,29.5,105.5,36,52,69,44,44,5.459431618637297
0,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,59,5.882643049361842
0,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,390,8.60733031374961
0,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,396,8.62935662007961
0,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,95,6.569855608330948
0,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,74,6.20945336562895
1,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,30,4.906890595608519
1,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,NA,NA
1,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,61,5.930737337562887
1,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,88,6.459431618637297
1,Endogenous,TNFRSF10B,NM_003842.3,-400,864,20.5,128.5,202.8,61.8,68,6.087462841250339
0,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,16,4
0,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,26,4.700439718141092
0,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,NA,NA
0,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,12,3.584962500721156
0,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,20,4.321928094887363
1,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,14,3.807354922057604
1,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,NA,NA
1,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,16,4
1,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,8,3
1,Endogenous,MAGEC2,NM_016249.3,1,41,-4,28,18.5,11.2,7,2.807354922057604
0,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,91,6.507794640198696
0,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,166,7.3750394313469245
0,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,186,7.539158811108031
0,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,101,6.658211482751795
0,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,107,6.741466986401147
1,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,131,7.03342300153745
1,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,NA,NA
1,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,146,7.189824558880018
1,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,108,6.754887502163468
1,Endogenous,CDKN2A,NM_000077.4,3.5,263.5,98,186,130.2,134.5,153,7.257387842692652
0,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,NA,NA
0,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,86,6.426264754702098
0,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,50,5.643856189774724
0,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,62,5.954196310386875
0,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,58,5.857980995127572
1,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,75,6.22881869049588
1,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,NA,NA
1,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,NA,NA
1,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,80,6.321928094887363
1,Endogenous,ADM,NM_001124.2,16,128,67.5,87.5,64,78,79,6.303780748177103
0,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,35,5.129283016944966
0,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,16,4
0,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,13,3.700439718141092
0,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,44,5.459431618637297
0,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,49,5.614709844115208
1,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,37,5.20945336562895
1,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,33,5.044394119358453
1,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,45,5.491853096329675
1,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,36,5.169925001442312
1,Endogenous,PNOC,NM_001284244.1,-26,86,30,46,31.4,38.2,40,5.321928094887363
0,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,39,5.285402218862249
0,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,NA,NA
0,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,42,5.392317422778761
0,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,NA,NA
0,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,42,5.392317422778761
1,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,40,5.321928094887363
1,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,39,5.285402218862249
1,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,NA,NA
1,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,46,5.523561956057013
1,Endogenous,CD247,NM_198053.2,34.5,46.5,27.5,47.5,41,40,35,5.129283016944966
0,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,61,5.930737337562887
0,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,126,6.977279923499917
0,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,278,8.118941072723507
0,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,213,7.734709620225838
0,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,124,6.954196310386875
1,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,NA,NA
1,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,NA,NA
1,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,96,6.584962500721156
1,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,121,6.918863237274595
1,Endogenous,PTPRC,NM_080921.3,-9.5,346.5,58.5,158.5,160.4,112.3,120,6.906890595608519
0,Endogenous,OAS3,NM_006187.3,-1200.5,2547.5,-113,623,709.2,210.2,756,9.562242424221072
0,Endogenous,OAS3,NM_006187.3,-1200.5,2547.5,-113,623,709.2,210.2,1142,10.157346935362844
0,Endogenous,OAS3,NM_006187.3,-1200.5,2547.5,-113,623,709.2,210.2,1310,10.355351096424812
0,Endogenous,OAS3,NM_006187.3,-1200.5,2547.5,-113,623,709.2,210.2,133,7.05528243550119
0,Endogenous,OAS3,NM_006187.3,-1200.5,2547.5,-113,623,709.2,210.2,205,7.679480099505446
1,Endogenous,OAS3,NM_006187.3,-1200.5,2547.5,-113,623,709.2,210.2,156,7.285402218862249
1,Endogenous,OAS3,NM_006187.3,-1200.5,2547.5,-113,623,709.2,210.2,NA,NA
