treatment,code_class,gene,accesion_number,lower_bound_pre_count,upper_bound_pre_count,lower_bound_post_count,upper_bound_post_count,mean_pre,mean_post,count_value,log2_transformed
1,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,129,7.011227255423254
1,Endogenous,CX3CL1,NM_002996.3,-203,533,27,299,149,128.8,132,7.044394119358453
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,315,8.29920801838728
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,3997,11.964701857420447
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,2597,11.342630298678408
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,232,7.857980995127572
0,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,550,9.103287808412022
1,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,807,9.656424863277781
1,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,NA,NA
1,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,566,9.144658242831882
1,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,121,6.918863237274595
1,Endogenous,ERBB2,NM_004448.2,-3108,6020,-263,1449,1538.2,468.2,379,8.566054038171092
0,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,21,4.392317422778761
0,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,83,6.3750394313469245
0,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,124,6.954196310386875
0,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,46,5.523561956057013
0,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,57,5.832890014164741
1,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,23,4.523561956057013
1,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,NA,NA
1,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,38,5.247927513443585
1,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,54,5.754887502163468
1,Endogenous,FAM124B,NM_001122779.1,-9.5,138.5,11,83,66.2,42.8,56,5.807354922057604
0,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,1050,10.036173612553485
0,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,4795,12.227315099905493
0,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,7387,12.850772862313322
0,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,888,9.794415866350105
0,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,1662,10.698704666770345
1,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,1259,10.298062567719017
1,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,NA,NA
1,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,779,9.605479518061669
1,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,882,9.784634845557521
1,Endogenous,AKT1,NM_005163.2,-4567.5,10412.5,316.5,1824.5,3156.4,1023,1172,10.194756854422248
0,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,79,6.303780748177103
0,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,470,8.876516946565
0,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,292,8.189824558880018
0,Endogenous,KDR,NM_002253.2,-178,582,77,197,249,139.3,107,6.741466986401147
