<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01004"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,5"
"FovCount,194"
"FovCounted,194"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.34"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CCNO,NM_021147.4,14"
"Endogenous,MYC,NM_002467.3,427"
"Endogenous,CD79A,NM_001783.3,17"
"Endogenous,FSTL3,NM_005860.2,59"
"Endogenous,VCAN,NM_001126336.2,838"
"Endogenous,CX3CL1,NM_002996.3,57"
"Endogenous,ERBB2,NM_004448.2,807"
"Endogenous,FAM124B,NM_001122779.1,23"
"Endogenous,AKT1,NM_005163.2,1259"
"Endogenous,KDR,NM_002253.2,152"
"Endogenous,EGF,NM_001178130.2,8"
"Endogenous,MAGEA12,NM_001166386.1,7"
"Endogenous,IFNA1,NM_024013.1,27"
"Endogenous,TGFB3,NM_001329938.1,130"
"Endogenous,MFGE8,NM_001114614.1,494"
"Endogenous,CXCL2,NM_002089.1,18"
"Endogenous,CCND2,NM_001759.2,226"
"Endogenous,PDZK1IP1,NM_005764.3,17"
"Endogenous,JAG2,NM_002226.4,30"
"Endogenous,C5,NM_001317163.1,74"
"Endogenous,CD79B,NM_001039933.1,11"
"Endogenous,CXCR2,NM_001557.3,23"
"Endogenous,PSMB10,NM_002801.3,77"
"Endogenous,ZEB1,NM_001128128.2,219"
"Endogenous,ANLN,NM_018685.2,22"
"Endogenous,TAF3,NM_031923.3,22"
"Endogenous,CD276,NM_001024736.1,482"
"Endogenous,ICAM1,NM_000201.2,29"
"Endogenous,IL16,NM_004513.4,67"
"Endogenous,CXCL3,NM_002090.2,10"
"Endogenous,PRR5,NM_015366.3,36"
"Endogenous,CTSW,NM_001335.3,14"
