<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01011-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,9"
"FovCount,194"
"FovCounted,193"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.40"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,TNFRSF4,NM_003327.3,21"
"Endogenous,MS4A6A,NM_152852.2,92"
"Endogenous,ANGPT2,NM_001147.2,141"
"Endogenous,APH1B,NM_001145646.1,174"
"Endogenous,RORC,NM_001001523.1,58"
"Endogenous,NECTIN2,NM_001042724.1,1137"
"Endogenous,DPP4,NM_001935.3,38"
"Endogenous,CCL2,NM_002982.3,238"
"Endogenous,NF1,NM_000267.3,162"
"Endogenous,S100A9,NM_002965.3,167"
"Endogenous,NFKBIA,NM_020529.2,1623"
"Endogenous,BNIP3L,NM_001330491.1,290"
"Endogenous,CST2,NM_001322.2,118"
"Endogenous,APOL6,NM_030641.3,201"
"Endogenous,BRD4,NM_001330384.1,232"
"Endogenous,SLC16A1,NM_003051.3,109"
"Endogenous,THBD,NM_000361.2,60"
"Endogenous,TIGIT,NM_173799.2,42"
"Endogenous,VSIR,NM_022153.1,59"
"Endogenous,TRIM21,NM_003141.3,123"
"Endogenous,NBN,NM_002485.4,242"
"Endogenous,WNT4,NM_030761.4,16"
"Endogenous,CXCL8,NM_000584.3,20"
"Endogenous,FGF9,NM_002010.2,7"
"Endogenous,C5AR1,NM_001736.3,11"
"Endogenous,TNFRSF1B,NM_001066.2,103"
"Endogenous,HLA-DRB5,NM_002125.3,13"
"Endogenous,GLUL,NM_002065.6,1633"
"Endogenous,LY9,NM_001033667.2,39"
"Endogenous,TAP1,NM_000593.5,151"
"Endogenous,IFIH1,NM_022168.3,306"
"Endogenous,DEPTOR,NM_001283012.1,317"
"Endogenous,CSF1R,NM_005211.3,430"
"Endogenous,MARCO,NM_006770.3,26"
"Endogenous,NFIL3,NM_001289999.1,156"
"Endogenous,IKBKG,NM_001099856.4,41"
"Endogenous,CD58,NM_001144822.1,61"
"Endogenous,LOXL2,NM_002318.2,54"
"Endogenous,SPRY4,NM_030964.3,90"
"Endogenous,NFAM1,NM_145912.5,18"
"Endogenous,SYK,NM_003177.5,79"
"Endogenous,COMP,NM_000095.2,205"
"Endogenous,IFI6,NM_002038.3,3674"
"Endogenous,RASGRF1,NM_001145648.1,23"
"Endogenous,HDAC5,NM_001015053.1,83"
"Endogenous,BAMBI,NM_012342.2,851"
"Endogenous,MAGEC1,NM_005462.4,14"
"Endogenous,FYN,NM_002037.5,186"
"Endogenous,TNFSF4,NM_001297562.1,46"
"Endogenous,CD274,NM_014143.3,22"
"Endogenous,PRKACB,NM_182948.2,93"
"Endogenous,IFIT2,NM_001547.4,44"
"Endogenous,PPARG,NM_005037.5,71"
"Endogenous,PTEN,NM_000314.6,260"
"Endogenous,FOXP3,NM_014009.3,29"
"Endogenous,SREBF1,NM_001005291.1,1612"
"Endogenous,CD36,NM_001001548.2,227"
"Endogenous,AXIN1,NM_181050.1,44"
"Endogenous,KLRK1,NM_007360.3,39"
"Endogenous,GBP1,NM_002053.2,91"
"Endogenous,CXCL11,NM_005409.4,76"
"Endogenous,CXCL10,NM_001565.3,245"
"Endogenous,RIPK1,NM_003804.3,357"
"Endogenous,REN,NM_000537.3,8"
"Endogenous,PRF1,NM_001083116.1,19"
"Endogenous,EIF2AK2,NM_001135652.2,637"
"Endogenous,LIF,NM_002309.4,39"
"Endogenous,BRD3,NM_007371.3,493"
"Endogenous,IGF2R,NM_000876.2,274"
"Endogenous,FPR1,NM_002029.3,34"
"Endogenous,DUSP5,NM_004419.3,623"
"Endogenous,APC,NM_001127510.2,396"
"Endogenous,HDAC3,NM_003883.3,179"
"Endogenous,CES3,NM_001185176.1,14"
"Endogenous,OAS2,NM_016817.2,264"
"Endogenous,HDAC11,NM_001330636.1,80"
"Endogenous,THBS1,NM_003246.2,3261"
"Endogenous,SLC11A1,NM_000578.3,28"
"Endogenous,MAGEA3/A6,NM_005362.3,17"
"Endogenous,ARID1A,NM_006015.4,379"
"Endogenous,CD48,NM_001778.3,42"
"Endogenous,GZMA,NM_006144.3,43"
"Endogenous,ICOSLG,NM_015259.4,67"
"Endogenous,PIK3R5,NM_014308.3,68"
"Endogenous,GZMM,NM_005317.2,12"
"Endogenous,WNT5A,NM_003392.3,43"
"Endogenous,TLR4,NR_024168.1,219"
"Endogenous,GZMB,NM_004131.4,6"
"Endogenous,PARP9,NM_001146103.1,452"
"Endogenous,LY96,NM_001195797.1,309"
"Endogenous,RAD50,NM_005732.3,546"
"Endogenous,MX1,NM_001144925.2,206"
"Endogenous,CENPF,NM_016343.3,90"
