code_class,name,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5
Endogenous,FASLG,NM_000639.2,16,14,36,49,16,22,59,17,34,30
Endogenous,CD209,NM_021155.2,13,32,116,65,13,21,43,28,25,34
Endogenous,IRF7,NM_004029.2,465,177,802,1827,465,195,175,199,283,375
Endogenous,PTCD2,NM_001284403.1,117,174,175,193,117,78,82,78,93,112
Endogenous,PIK3R2,NM_005027.3,382,256,1731,1722,382,188,84,166,169,182
Endogenous,LILRA5,NM_181879.2,23,17,67,108,23,23,34,45,26,32
Endogenous,IL32,NM_004221.4,297,165,693,1869,297,237,1220,276,357,547
Endogenous,CCND3,NM_001136017.2,45,83,696,370,45,68,43,94,75,55
Endogenous,BIRC5,NM_001168.2,198,24,214,662,198,41,67,64,159,72
Endogenous,LGALS9,NM_002308.3,42,41,233,537,42,45,44,38,43,52
Endogenous,RASAL1,NM_001193520.1,39,28,36,43,39,28,32,42,22,25
Endogenous,PDCD1LG2,NM_025239.3,39,33,74,122,39,44,112,61,65,70
Endogenous,IL11,NM_000641.3,51,18,119,266,51,50,29,33,44,62
Endogenous,PRKX,NM_005044.4,19,13,16,28,19,13,15,20,18,9
Endogenous,SNCA,NM_001146055.1,16,19,227,92,16,57,31,80,36,41
Endogenous,ADGRE1,NM_001256252.1,16,9,49,38,16,28,19,17,18,25
Endogenous,PSMB9,NM_002800.4,115,73,268,308,115,56,246,93,91,77
Endogenous,RUNX3,NM_001031680.2,26,38,385,180,26,43,64,39,37,46
Endogenous,PGPEP1,NM_001300927.1,33,60,384,280,33,43,37,49,38,38
Endogenous,MELK,NM_014791.2,160,53,101,326,160,45,80,47,113,78
Endogenous,ISG15,NM_005101.3,1631,150,578,2098,1631,90,102,228,533,447
Endogenous,EIF2B4,NM_001034116.1,117,104,664,498,117,107,68,97,108,96
Endogenous,IRF9,NM_006084.4,548,421,1535,1133,548,259,332,268,671,344
Endogenous,IL1A,NM_000575.3,32,22,125,95,32,29,28,31,20,38
Endogenous,FCRL2,NM_001159488.1,13,20,23,35,13,26,90,12,24,12
Endogenous,EIF4EBP1,NM_004095.3,1412,128,1231,908,1412,251,285,109,341,257
Endogenous,LTBP1,NM_000627.3,160,99,450,527,160,215,106,173,184,157
Endogenous,CD40LG,NM_000074.2,9,13,27,56,9,14,25,22,25,20
Endogenous,HEY1,NM_001040708.1,166,367,1068,338,166,95,268,234,233,326
Endogenous,HLA-DQA1,NM_002122.3,295,15,1238,1428,295,909,3675,599,13,637
Endogenous,PRLR,NM_000949.5,601,1434,967,1147,601,501,377,135,684,643
Endogenous,TNFRSF11A,NM_001270949.1,40,20,146,113,40,56,42,219,42,37
Endogenous,AREG,NM_001657.3,57,46,2011,83,57,16,11,20,334,15
Endogenous,BBC3,NM_014417.4,180,210,630,1101,180,164,122,197,228,173
Endogenous,EDN1,NM_001955.2,36,23,386,123,36,53,27,43,50,64
Endogenous,PARP12,NM_022750.3,264,130,681,574,264,151,234,202,299,238
Endogenous,PIK3CG,NM_001282426.1,38,53,200,271,38,101,170,64,73,108
Endogenous,IL4,NM_172348.1,13,11,8,15,13,20,20,15,15,15
Endogenous,F2RL1,NM_005242.4,48,19,249,108,48,76,41,36,83,68
Endogenous,CXCL6,NM_002993.3,20,17,177,23,20,25,11,17,13,14
Endogenous,TNFSF18,NM_005092.3,17,14,49,45,17,17,17,16,17,28
Endogenous,JAK3,NM_000215.2,44,23,170,121,44,33,75,42,59,38
Endogenous,NKG7,NM_005601.3,33,58,327,239,33,53,349,108,95,87
Endogenous,TAPBP,NM_003190.4,533,546,2299,3846,533,458,372,589,696,430
Endogenous,MTOR,NM_004958.3,200,183,1081,585,200,154,110,141,204,188
Endogenous,SELP,NM_003005.3,13,22,97,21,13,24,32,16,39,26
Endogenous,HLA-E,NM_005516.5,670,644,4796,3354,670,628,1618,996,1116,1037
Endogenous,GOT1,NM_002079.2,265,228,877,657,265,182,165,292,360,225
Endogenous,SMAP1,NM_001044305.2,157,219,761,529,157,220,242,191,332,242
Endogenous,CDKN1A,NM_000389.2,430,216,900,1884,430,247,261,170,271,239
Endogenous,CD45RA,NM_002838.4,8,20,52,50,8,13,34,15,49,20
Endogenous,HNF1A,NM_000545.6,12,21,21,38,12,19,13,14,18,17
Endogenous,TICAM1,NM_182919.3,36,31,109,176,36,36,29,29,26,47
Endogenous,C1QA,NM_015991.3,100,79,859,894,100,165,438,262,166,253
Endogenous,CD86,NM_001206924.1,25,19,60,132,25,42,63,40,31,70
Endogenous,ITGA4,NM_000885.5,108,76,398,605,108,103,238,51,149,113
Endogenous,ROR2,NM_001318204.1,129,62,714,812,129,190,96,110,82,306
Endogenous,WNT7B,NM_058238.2,97,12,37,118,97,85,30,28,31,45
Endogenous,FLT1,NM_002019.4,381,429,771,628,381,160,375,333,869,375
Endogenous,CTAG1B,NM_001327.2,58,13,14,5,58,9,13,8,13,6
Endogenous,CLEC7A,NM_197954.2,83,96,151,252,83,307,136,153,109,241
Endogenous,TNFRSF4,NM_003327.3,18,22,36,50,18,33,22,20,21,33
Endogenous,MS4A6A,NM_152852.2,27,44,117,136,27,63,137,115,92,107
Endogenous,ANGPT2,NM_001147.2,113,79,162,389,113,77,38,79,141,187
Endogenous,APH1B,NM_001145646.1,169,234,521,398,169,130,148,162,174,284
Endogenous,RORC,NM_001001523.1,56,67,366,228,56,180,127,151,58,108
Endogenous,NECTIN2,NM_001042724.1,286,578,3528,3515,286,331,328,692,1137,492
Endogenous,DPP4,NM_001935.3,31,23,105,119,31,48,49,39,38,106
Endogenous,CCL2,NM_002982.3,789,150,1097,1712,789,243,265,183,238,375
Endogenous,NF1,NM_000267.3,168,178,734,571,168,165,92,71,162,161
Endogenous,S100A9,NM_002965.3,1519,32,396,81,1519,246,316,246,167,46
Endogenous,NFKBIA,NM_020529.2,1304,903,5314,5481,1304,1103,1624,1571,1623,1896
Endogenous,BNIP3L,NM_001330491.1,267,102,1250,1297,267,254,300,295,290,481
Endogenous,CST2,NM_001322.2,24,44,14,273,24,37,28,35,118,73
Endogenous,APOL6,NM_030641.3,178,140,708,730,178,154,267,166,201,250
Endogenous,BRD4,NM_001330384.1,320,191,2527,2266,320,327,186,201,232,320
Endogenous,SLC16A1,NM_003051.3,264,72,278,199,264,87,94,49,109,159
Endogenous,THBD,NM_000361.2,35,56,236,153,35,17,24,35,60,30
Endogenous,TIGIT,NM_173799.2,15,14,21,88,15,15,83,18,42,24
Endogenous,VSIR,NM_022153.1,17,26,437,143,17,52,63,44,59,48
Endogenous,TRIM21,NM_003141.3,118,62,349,449,118,86,135,97,123,188
Endogenous,NBN,NM_002485.4,371,151,1134,1061,371,231,310,240,242,320
Endogenous,WNT4,NM_030761.4,15,33,228,108,15,49,9,8,16,17
Endogenous,CXCL8,NM_000584.3,54,12,33,64,54,14,13,19,20,27
Endogenous,FGF9,NM_002010.2,11,14,19,20,11,14,7,10,7,9
Endogenous,C5AR1,NM_001736.3,17,17,41,114,17,18,16,21,11,18
Endogenous,TNFRSF1B,NM_001066.2,25,40,491,425,25,87,134,87,103,105
Endogenous,HLA-DRB5,NM_002125.3,17,1866,2862,7,17,1853,5,1507,13,6
Endogenous,GLUL,NM_002065.6,1920,6088,10375,4901,1920,1922,3855,1029,1633,1587
Endogenous,LY9,NM_001033667.2,7,16,59,60,7,14,67,26,39,26
Endogenous,TAP1,NM_000593.5,295,124,405,606,295,81,373,210,151,173
Endogenous,IFIH1,NM_022168.3,778,225,902,1614,778,220,370,386,306,377
Endogenous,DEPTOR,NM_001283012.1,138,160,1113,307,138,322,275,1479,317,245
Endogenous,CSF1R,NM_005211.3,186,275,1133,806,186,672,916,569,430,624
Endogenous,MARCO,NM_006770.3,21,17,27,24,21,22,11,31,26,23
Endogenous,NFIL3,NM_001289999.1,133,83,578,596,133,232,150,127,156,177
Endogenous,IKBKG,NM_001099856.4,46,65,441,448,46,53,61,31,41,60
Endogenous,CD58,NM_001144822.1,36,39,163,90,36,52,40,41,61,63
Endogenous,LOXL2,NM_002318.2,64,41,358,336,64,85,59,51,54,127
Endogenous,SPRY4,NM_030964.3,42,81,855,384,42,50,46,36,90,92
Endogenous,NFAM1,NM_145912.5,9,13,53,81,9,29,26,23,18,19
Endogenous,SYK,NM_003177.5,61,53,247,354,61,113,119,64,79,94
Endogenous,COMP,NM_000095.2,314,247,46,612,314,439,184,458,205,208
Endogenous,IFI6,NM_002038.3,24292,1707,11399,14987,24292,624,537,1077,3674,2681
Endogenous,RASGRF1,NM_001145648.1,329,15,30,52,329,36,23,14,23,29
Endogenous,HDAC5,NM_001015053.1,101,216,721,616,101,78,64,103,83,110
Endogenous,BAMBI,NM_012342.2,43,220,462,1873,43,320,383,241,851,897
Endogenous,MAGEC1,NM_005462.4,12,18,14,17,12,8,15,26,14,10
Endogenous,FYN,NM_002037.5,89,150,724,776,89,112,168,120,186,181
Endogenous,TNFSF4,NM_001297562.1,40,26,46,158,40,28,35,27,46,79
Endogenous,CD274,NM_014143.3,31,15,103,95,31,18,38,19,22,21
Endogenous,PRKACB,NM_182948.2,47,81,1675,214,47,68,99,836,93,169
Endogenous,IFIT2,NM_001547.4,164,31,292,676,164,35,97,69,44,85
Endogenous,PPARG,NM_005037.5,31,85,210,179,31,41,80,78,71,95
Endogenous,PTEN,NM_000314.6,178,244,1111,802,178,232,185,248,260,345
Endogenous,FOXP3,NM_014009.3,20,25,48,121,20,24,34,26,29,22
Endogenous,SREBF1,NM_001005291.1,870,10672,5387,7254,870,773,1784,897,1612,803
Endogenous,CD36,NM_001001548.2,99,494,1744,1202,99,34,263,248,227,937
Endogenous,AXIN1,NM_181050.1,83,74,420,294,83,65,48,55,44,51
Endogenous,KLRK1,NM_007360.3,19,19,84,76,19,27,97,27,39,47
Endogenous,GBP1,NM_002053.2,108,22,273,385,108,67,302,90,91,140
Endogenous,CXCL11,NM_005409.4,175,16,19,475,175,27,428,102,76,124
Endogenous,CXCL10,NM_001565.3,770,51,273,1681,770,190,1341,415,245,621
Endogenous,RIPK1,NM_003804.3,157,346,1310,1246,157,296,293,244,357,345
Endogenous,REN,NM_000537.3,6,13,43,14,6,9,5,3,8,6
Endogenous,PRF1,NM_001083116.1,17,17,71,77,17,12,26,15,19,25
Endogenous,EIF2AK2,NM_001135652.2,997,545,1445,1817,997,416,433,317,637,733
Endogenous,LIF,NM_002309.4,43,21,123,242,43,34,37,17,39,50
Endogenous,BRD3,NM_007371.3,225,295,2058,1996,225,380,297,287,493,531
Endogenous,IGF2R,NM_000876.2,133,315,880,603,133,184,195,182,274,225
Endogenous,FPR1,NM_002029.3,26,34,145,262,26,52,59,77,34,120
Endogenous,DUSP5,NM_004419.3,1036,402,1862,1247,1036,89,398,231,623,134
Endogenous,APC,NM_001127510.2,394,595,1254,1533,394,358,287,299,396,698
Endogenous,HDAC3,NM_003883.3,224,400,997,658,224,152,146,153,179,223
Endogenous,CES3,NM_001185176.1,55,13,31,115,55,12,13,18,14,25
Endogenous,OAS2,NM_016817.2,1380,173,1455,3175,1380,196,465,263,264,815
Endogenous,HDAC11,NM_001330636.1,51,86,625,327,51,88,67,26,80,76
Endogenous,THBS1,NM_003246.2,1778,1329,5385,15560,1778,3021,1032,1817,3261,6280
Endogenous,SLC11A1,NM_000578.3,41,21,39,161,41,41,15,46,28,46
Endogenous,MAGEA3/A6,NM_005362.3,470,10,13,26,470,16,7,12,17,8
Endogenous,ARID1A,NM_006015.4,316,291,1886,1515,316,375,261,240,379,365
Endogenous,CD48,NM_001778.3,26,11,62,171,26,23,66,32,42,47
Endogenous,GZMA,NM_006144.3,13,19,49,82,13,25,106,29,43,43
Endogenous,ICOSLG,NM_015259.4,130,92,259,393,130,134,114,59,67,137
Endogenous,PIK3R5,NM_014308.3,37,39,185,364,37,62,99,91,68,89
Endogenous,GZMM,NM_005317.2,13,14,30,60,13,9,19,16,12,13
Endogenous,WNT5A,NM_003392.3,109,25,540,373,109,297,31,51,43,84
Endogenous,TLR4,NR_024168.1,79,103,699,726,79,233,321,263,219,297
Endogenous,GZMB,NM_004131.4,8,5,16,19,8,6,10,7,6,11
Endogenous,PARP9,NM_001146103.1,445,176,702,757,445,112,336,327,452,343
Endogenous,LY96,NM_001195797.1,154,147,403,652,154,242,567,271,309,437
Endogenous,RAD50,NM_005732.3,612,1386,1609,1340,612,477,592,283,546,829
Endogenous,MX1,NM_001144925.2,451,127,480,1210,451,66,57,75,206,234
Endogenous,CENPF,NM_016343.3,126,11,142,1067,126,59,52,37,90,127
Endogenous,SELL,NM_000655.4,9,24,85,135,9,23,34,23,32,20
Endogenous,TNFSF10,NM_003810.3,378,277,5182,1560,378,802,3620,809,475,961
Endogenous,IL12RB2,NM_001319233.1,23,10,22,55,23,11,64,26,24,20
Endogenous,CXCL9,NM_002416.2,22,26,107,396,22,46,1304,93,135,82
Endogenous,TRAT1,NM_016388.3,5,13,38,52,5,11,43,24,32,21
Endogenous,STC1,NM_003155.2,61,129,306,631,61,38,32,24,46,241
Endogenous,IL2RB,NM_000878.2,18,19,179,281,18,29,130,29,55,32
Endogenous,LILRB4,NM_001278426.3,44,69,150,378,44,117,157,94,79,107
Endogenous,SOX2,NM_003106.2,9,12,39,30,9,15,5,17,22,18
Endogenous,HCK,NM_001172129.1,55,59,363,538,55,132,120,109,92,151
Endogenous,WNT2B,NM_001291880.1,20,43,128,527,20,49,24,27,29,45
Endogenous,IL1B,NM_000576.2,19,15,132,77,19,25,18,11,18,25
Endogenous,TLR1,NM_003263.3,60,53,212,196,60,168,138,156,98,155
Endogenous,CCL22,NM_002990.3,15,11,45,161,15,10,23,11,18,17
Endogenous,ICAM2,NM_000873.3,19,36,235,125,19,23,83,52,60,45
Endogenous,MAP3K12,NM_006301.3,59,76,205,171,59,53,11,22,51,29
Endogenous,JAG1,NM_000214.2,119,178,1067,1169,119,346,222,255,662,622
Endogenous,CCL3/L1,NM_021006.5,122,19,79,511,122,48,62,72,70,118
Endogenous,SOCS1,NM_003745.1,39,12,106,125,39,23,100,27,33,53
Endogenous,BCL2,NM_000633.2,198,472,1202,1009,198,239,193,250,210,379
Endogenous,MAP3K8,NM_001244134.1,213,69,1028,533,213,196,204,179,184,162
Endogenous,MMP1,NM_002421.2,47,24,73,196,47,12,61,22,40,17
Endogenous,CMKLR1,NM_004072.2,40,118,230,322,40,95,172,117,121,123
Endogenous,TNFRSF17,NM_001192.2,10,18,21,20,10,8,262,9,51,29
Endogenous,TLR8,NM_138636.4,21,26,137,87,21,28,107,53,47,44
Endogenous,TPM1,NM_000366.5,580,406,4875,2120,580,571,279,379,427,756
Endogenous,CXorf36,NM_024689.2,48,141,489,223,48,74,99,96,191,167
Endogenous,NLRP3,NM_001079821.2,16,17,74,64,16,35,21,13,32,23
Endogenous,DEFB134,NM_001302695.1,16,23,10,37,16,19,15,18,20,20
Endogenous,HLA-DQA2,NM_020056.4,25,25,22,920,25,1070,92,3,797,1181
Endogenous,CX3CR1,NM_001171171.1,11,82,596,124,11,254,34,30,64,42
Endogenous,APLNR,NM_005161.4,7,41,161,233,7,22,25,15,45,26
Endogenous,MXI1,NM_001008541.1,88,73,797,179,88,60,52,102,115,63
Endogenous,FZD9,NM_003508.2,16,15,18,19,16,18,13,7,16,9
Endogenous,COL4A5,NM_000495.4,101,354,1226,1453,101,149,43,72,73,347
Endogenous,FCAR,NM_133278.2,13,11,26,30,13,10,12,12,21,10
Endogenous,BRCA2,NM_000059.3,85,78,185,430,85,48,103,52,109,100
Endogenous,SFRP4,NM_003014.2,163,447,810,2838,163,757,539,337,1984,896
Endogenous,TLR3,NM_003265.2,89,43,321,253,89,131,165,107,68,130
Endogenous,IL2RG,NM_000206.1,21,22,153,235,21,54,362,36,134,92
Endogenous,CD84,NM_001184879.1,60,87,322,708,60,143,317,202,171,257
Endogenous,HLA-DPA1,NM_033554.2,330,591,2305,2564,330,2880,2838,1142,1211,1833
Endogenous,RBL2,NM_001323611.1,427,1334,2735,2489,427,525,550,985,1228,886
Endogenous,CCL18,NM_002988.3,135,170,137,103,135,165,155,142,152,146
Endogenous,IRF3,NM_001197122.1,126,104,1171,680,126,142,103,143,149,144
Endogenous,TNFRSF8,NM_001243.3,4,9,15,14,4,12,8,7,7,13
Endogenous,KIR3DL2,NM_006737.2,5,7,13,18,5,11,8,12,7,5
Endogenous,TNFSF13,NM_003808.3,55,52,616,515,55,112,62,55,55,63
Endogenous,CLECL1,NM_172004.3,18,27,77,81,18,46,72,42,58,44
Endogenous,TNFRSF10B,NM_003842.3,59,30,390,220,59,61,95,88,74,68
Endogenous,MAGEC2,NM_016249.3,16,14,26,31,16,16,12,8,20,7
Endogenous,CDKN2A,NM_000077.4,91,131,166,243,91,146,101,108,107,153
Endogenous,ADM,NM_001124.2,178,75,86,90,178,67,62,80,58,79
Endogenous,PNOC,NM_001284244.1,35,37,16,33,35,45,44,36,49,40
Endogenous,CD247,NM_198053.2,39,40,26,39,39,27,48,46,42,35
Endogenous,PTPRC,NM_080921.3,61,48,126,196,61,96,213,121,124,120
Endogenous,OAS3,NM_006187.3,756,156,1142,2239,756,163,133,175,205,347
Endogenous,LAG3,NM_002286.5,86,58,87,226,86,84,136,66,73,115
Endogenous,FOSL1,NM_005438.3,118,108,188,166,118,94,80,86,110,119
Endogenous,EOMES,NM_001278182.1,38,32,39,50,38,28,118,40,60,55
Endogenous,IL10RA,NM_001558.2,76,64,283,311,76,128,284,135,167,127
Endogenous,WDR76,NM_024908.3,70,89,126,262,70,50,56,47,57,76
Endogenous,GPC4,NM_001448.2,51,41,249,176,51,194,71,81,90,88
Endogenous,SLAMF7,NM_021181.3,35,56,55,96,35,42,154,60,70,53
Endogenous,RSAD2,NM_080657.4,1136,147,430,2283,1136,242,285,252,230,872
Endogenous,TLR5,NM_003268.5,88,74,289,576,88,204,145,124,127,171
Endogenous,VEGFA,NM_001171623.1,1871,269,693,724,1871,123,127,140,216,127
Endogenous,COL5A1,NM_000093.4,710,331,840,5543,710,1087,465,727,635,2215
Endogenous,CD3D,NM_000732.4,41,59,87,144,41,66,239,88,115,84
Endogenous,FBP1,NM_001127628.1,226,779,1223,1773,226,307,446,219,1178,684
Endogenous,ERO1A,NM_014584.2,1094,736,978,690,1094,319,531,817,548,484
Endogenous,CCL21,NM_002989.2,18,33,586,179,18,29,29,21,138,86
Endogenous,E2F3,NM_001243076.2,174,130,524,481,174,136,147,143,239,136
Endogenous,LDHA,NM_001135239.1,7634,526,3795,3477,7634,1137,1313,1528,1245,1529
Endogenous,MS4A1,NM_021950.3,32,67,42,80,32,42,37,34,82,32
Endogenous,CD69,NM_001781.2,45,47,60,157,45,53,77,68,60,62
Endogenous,SERPINB5,NM_002639.4,46,33,1563,49,46,85,19,43,77,38
Endogenous,FAP,NM_004460.2,331,136,166,1693,331,698,482,352,429,1482
Endogenous,ITGA2,NM_002203.3,160,21,498,273,160,182,64,162,108,134
Endogenous,SIGLEC5,NM_003830.3,16,22,29,53,16,13,28,18,20,21
Endogenous,SIRPB2,NM_001134836.1,21,21,34,98,21,37,28,50,34,50
Endogenous,EPM2AIP1,NM_014805.3,333,166,1262,892,333,206,278,191,385,469
Endogenous,FGF18,NM_003862.2,12,19,23,59,12,26,22,27,51,21
Endogenous,HRAS,NM_005343.3,134,201,886,850,134,118,54,119,178,114
Endogenous,CCND1,NM_053056.2,823,2876,4277,17657,823,1212,332,377,914,2329
Endogenous,LAMB3,NM_000228.2,63,43,2955,457,63,194,26,25,177,102
Endogenous,ID4,NM_001546.3,24,52,602,112,24,70,31,55,140,93
Endogenous,CCL4,NM_002984.2,53,48,122,301,53,34,85,74,48,73
Endogenous,GZMH,NM_033423.3,15,14,8,19,15,17,40,11,21,17
Endogenous,API5,NM_001142930.1,525,456,2172,2643,525,389,511,453,687,1039
Endogenous,PTGER4,NM_000958.2,32,42,497,275,32,52,52,39,71,83
Endogenous,ITGB8,NM_002214.2,39,247,1218,141,39,486,99,107,214,96
Endogenous,TNKS,NM_003747.2,120,166,720,590,120,168,198,247,158,235
Endogenous,B2M,NM_004048.2,8147,3820,24913,25552,8147,3683,11795,5834,5651,8227
Endogenous,TP53,NM_000546.2,118,102,892,822,118,162,200,164,224,259
Endogenous,MAGEB2,NM_002364.4,16,10,49,56,16,18,23,15,20,17
Endogenous,LYZ,NM_000239.2,298,420,1561,1594,298,547,4676,900,1866,771
Endogenous,NCAM1,NM_000615.6,9,83,33,31,9,18,9,14,39,15
Endogenous,TCL1A,NM_001098725.1,6,4,8,27,6,5,5,4,14,7
Endogenous,HDC,NM_002112.3,7,23,163,243,7,34,58,15,24,50
Endogenous,CD27,NM_001242.4,15,30,59,137,15,19,320,19,77,29
Endogenous,SBNO2,NM_001100122.1,181,146,568,576,181,151,121,71,154,133
Endogenous,PECAM1,NM_000442.4,251,571,2083,1589,251,325,1273,799,877,720
Endogenous,SERPINH1,NM_001207014.1,131,58,462,3394,131,358,121,121,172,664
Endogenous,SPP1,NM_000582.2,3435,448,1623,6098,3435,1567,85,731,1148,1236
Endogenous,EGFR,NM_005228.3,57,50,1069,168,57,94,37,58,112,86
Endogenous,CASP8,NM_001228.4,35,24,132,144,35,36,60,83,35,62
Endogenous,CCNA1,NM_001111045.1,15,11,69,28,15,13,13,14,17,15
Endogenous,TNFAIP3,NM_001270508.1,36,18,183,162,36,55,88,51,61,54
Endogenous,CDC25C,NM_001790.4,33,17,17,59,33,7,23,7,22,11
Endogenous,CXCR6,NM_006564.1,16,20,59,87,16,31,175,28,42,33
Endogenous,DLL1,NM_005618.3,13,29,553,175,13,56,20,17,60,38
Endogenous,OAS1,NM_001032409.1,1120,150,968,1685,1120,128,248,299,238,428
Endogenous,HLA-DQB1,NM_002123.3,59,7,173,309,59,221,403,119,11,128
Endogenous,ROBO4,NM_019055.5,26,52,331,214,26,34,29,51,46,53
Endogenous,NFKB1,NM_003998.3,242,126,1290,706,242,328,349,522,353,314
Endogenous,IFI27,NM_005532.3,11191,2564,3336,14237,11191,659,690,1234,2349,2884
Endogenous,HLA-DMB,NM_002118.3,104,176,709,910,104,462,884,455,458,566
Endogenous,CDKN1C,NM_000076.2,43,224,1256,710,43,124,115,125,203,192
Endogenous,CEP55,NM_018131.3,70,9,61,162,70,22,26,23,29,24
Endogenous,ARG1,NM_000045.3,13,16,44,33,13,20,16,27,17,23
Endogenous,PLOD2,NM_182943.2,642,217,309,658,642,239,137,174,252,404
Endogenous,LAIR1,NM_001289023.2,36,43,174,303,36,62,107,73,51,89
Endogenous,SHC2,NM_012435.2,40,159,395,862,40,174,44,30,231,183
Endogenous,STAT3,NM_003150.3,997,849,4106,2986,997,1196,1013,909,1018,1339
Endogenous,CD45RO,NM_080921.3,122,77,411,580,122,284,758,240,274,292
Endogenous,CD2,NM_001767.3,105,68,305,424,105,94,167,73,112,165
Endogenous,IL7R,NM_002185.3,31,16,190,487,31,42,149,92,133,68
Endogenous,FLNB,NM_001164319.1,673,1468,5618,3097,673,752,714,553,976,370
Endogenous,PSMB5,NM_001130725.1,528,445,2136,2282,528,303,374,475,531,526
Endogenous,SLC1A5,NM_001145144.1,195,749,3679,1118,195,547,561,1424,576,388
Endogenous,RICTOR,NM_001285439.1,250,1094,988,712,250,394,268,472,404,399
Endogenous,ZAP70,NM_001079.3,34,25,140,195,34,40,106,29,62,47
Endogenous,TNFAIP6,NM_007115.3,151,57,127,605,151,250,54,131,135,381
Endogenous,BTLA,NM_001085357.1,8,14,23,23,8,10,30,16,20,11
Endogenous,RELA,NM_021975.3,156,123,1175,788,156,140,104,173,173,135
Endogenous,MMP7,NM_002423.3,184,13,1590,644,184,217,48,69,1678,450
Endogenous,TCF3,NM_003200.3,201,105,1170,1367,201,240,188,104,184,262
Endogenous,IRF8,NM_002163.2,40,34,167,325,40,121,185,77,117,149
Endogenous,NOS2,NM_000625.4,6,10,19,28,6,7,9,10,10,12
Endogenous,A2M,NM_000014.4,694,1423,16503,4973,694,1842,3129,2001,4351,2747
Endogenous,CCL20,NM_001130046.1,20,8,19,37,20,22,35,15,24,19
Endogenous,MKI67,NM_002417.2,308,30,257,978,308,59,103,80,168,121
Endogenous,IFNGR1,NM_000416.2,202,440,2178,1082,202,760,505,545,554,538
Endogenous,INHBA,NM_002192.2,161,80,90,1514,161,210,168,174,109,464
Endogenous,WNT5B,NM_030775.2,35,17,256,113,35,42,19,15,19,24
Endogenous,CXCL5,NM_002994.4,21,19,32,16,21,17,14,16,16,8
Endogenous,SOX10,NM_006941.3,8,9,2183,41,8,46,16,14,54,36
Endogenous,EGR1,NM_001964.2,127,162,4093,604,127,173,111,127,253,236
Endogenous,STAT4,NM_001243835.1,23,34,179,121,23,71,88,43,96,71
Endogenous,IFIT3,NM_001031683.3,490,67,353,1164,490,75,112,111,87,327
Endogenous,GMIP,NM_001288998.1,12,18,78,101,12,17,18,18,15,22
Endogenous,ARNT2,NM_014862.3,153,157,287,575,153,89,32,36,208,153
Endogenous,UBE2C,NM_007019.2,188,13,91,834,188,23,67,34,102,94
Endogenous,CHUK,NM_001278.4,222,211,906,881,222,138,145,166,269,207
Endogenous,GHR,NM_000163.2,64,140,382,1005,64,50,76,102,632,482
Endogenous,TPI1,NM_000365.5,2927,1072,4991,5671,2927,697,728,699,1090,960
Endogenous,HAVCR2,NM_032782.3,81,52,215,585,81,149,249,185,141,248
Endogenous,GOT2,NM_002080.3,505,733,1431,1758,505,271,511,379,801,640
Endogenous,PIK3CA,NM_006218.2,103,176,528,404,103,185,189,318,218,248
Endogenous,TNFSF9,NM_003811.3,7,16,14,24,7,17,15,16,19,14
Endogenous,IDO1,NM_002164.5,24,17,48,151,24,16,117,28,34,44
Endogenous,APOE,NM_000041.2,553,284,2402,7712,553,407,1377,1068,1034,2491
Endogenous,LILRB2,NM_001278405.1,27,29,139,124,27,54,68,49,61,55
Endogenous,PARP4,NM_006437.3,283,183,904,1055,283,297,394,342,402,493
Endogenous,PFKM,NM_000289.5,133,172,496,357,133,109,72,141,107,154
Endogenous,THY1,NM_006288.3,305,265,977,3022,305,516,319,367,502,1285
Endogenous,SAMD9,NM_017654.3,497,88,526,1142,497,223,557,319,248,375
Endogenous,TGFB1,NM_000660.4,420,421,1701,2771,420,578,557,481,600,953
Endogenous,CD8A,NM_001768.6,24,35,130,184,24,31,90,34,56,61
Endogenous,SELE,NM_000450.2,23,18,146,107,23,29,69,40,80,77
Endogenous,CDKN2B,NM_004936.3,77,101,120,448,77,192,77,134,131,233
Endogenous,CD5,NM_001346456.1,18,24,58,87,18,21,43,15,39,21
Endogenous,HLA-A,NM_002116.7,1921,529,15117,13803,1921,1390,2879,1351,4509,4491
Endogenous,FZD8,NM_031866.1,21,462,570,131,21,41,59,25,44,45
Endogenous,BCL2L1,NM_001191.3,231,333,1024,1289,231,265,392,390,746,462
Endogenous,TNFRSF9,NM_001561.5,22,9,38,50,22,24,86,11,16,47
Endogenous,XCL1/2,NM_002995.2,37,13,57,72,37,16,35,22,16,31
Endogenous,MAGEA4,NM_001011548.1,10,12,9,14,10,11,13,10,9,11
Endogenous,PMS2,NM_000535.6,249,281,592,453,249,181,230,189,222,255
Endogenous,KLRD1,NM_002262.3,18,15,99,88,18,43,69,49,42,27
Endogenous,NFATC2,NM_173091.2,73,81,314,473,73,99,200,62,129,176
Endogenous,VEGFB,NM_003377.3,154,98,1191,736,154,135,186,277,194,215
Endogenous,CDC20,NM_001255.1,52,16,85,132,52,18,21,23,33,29
Endogenous,OTOA,NM_001161683.1,11,16,11,22,11,20,9,10,11,17
Endogenous,TPSAB1/B2,NM_003294.3,84,148,829,5853,84,437,1530,273,734,1180
Endogenous,P4HA1,NM_000917.3,415,73,207,336,415,131,156,107,112,215
