<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01007-C3"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,8"
"FovCount,194"
"FovCounted,194"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,0.32"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CCNO,NM_021147.4,13"
"Endogenous,MYC,NM_002467.3,102"
"Endogenous,CD79A,NM_001783.3,12"
"Endogenous,FSTL3,NM_005860.2,40"
"Endogenous,VCAN,NM_001126336.2,2285"
"Endogenous,CX3CL1,NM_002996.3,129"
"Endogenous,ERBB2,NM_004448.2,121"
"Endogenous,FAM124B,NM_001122779.1,54"
"Endogenous,AKT1,NM_005163.2,882"
"Endogenous,KDR,NM_002253.2,122"
"Endogenous,EGF,NM_001178130.2,216"
"Endogenous,MAGEA12,NM_001166386.1,12"
"Endogenous,IFNA1,NM_024013.1,31"
"Endogenous,TGFB3,NM_001329938.1,142"
"Endogenous,MFGE8,NM_001114614.1,534"
"Endogenous,CXCL2,NM_002089.1,34"
"Endogenous,CCND2,NM_001759.2,122"
"Endogenous,PDZK1IP1,NM_005764.3,31"
"Endogenous,JAG2,NM_002226.4,25"
"Endogenous,C5,NM_001317163.1,70"
"Endogenous,CD79B,NM_001039933.1,11"
"Endogenous,CXCR2,NM_001557.3,43"
"Endogenous,PSMB10,NM_002801.3,122"
"Endogenous,ZEB1,NM_001128128.2,284"
"Endogenous,ANLN,NM_018685.2,61"
"Endogenous,TAF3,NM_031923.3,22"
"Endogenous,CD276,NM_001024736.1,334"
"Endogenous,ICAM1,NM_000201.2,92"
"Endogenous,IL16,NM_004513.4,149"
"Endogenous,CXCL3,NM_002090.2,17"
"Endogenous,PRR5,NM_015366.3,33"
"Endogenous,CTSW,NM_001335.3,23"
"Endogenous,CXCR4,NM_001008540.1,433"
"Endogenous,IFNGR2,NM_005534.3,738"
"Endogenous,CDH11,NM_001797.2,1515"
"Endogenous,COL6A3,NM_004369.3,2069"
"Endogenous,GZMK,NM_002104.2,53"
