code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,TLR8,NM_138636.4,21,26,137,87,63,28,107,53,47,44,-9.5,90.5,75,47.6
Endogenous,TPM1,NM_000366.5,580,406,4875,NA,2463,571,279,379,427,756,-119,1281,1724.8,528
Endogenous,CXorf36,NM_024689.2,48,141,NA,223,201,74,99,96,191,167,-10.5,273.5,134.8,140.2
Endogenous,NLRP3,NM_001079821.2,16,17,74,NA,81,35,21,13,32,23,-10,62,44.8,22
Endogenous,DEFB134,NM_001302695.1,16,23,10,NA,10,19,15,18,20,20,13,29,14.2,20
Endogenous,HLA-DQA2,NM_020056.4,25,25,22,920,72,1070,92,3,NA,1181,-1542.5,2637.5,52.8,639.8
Endogenous,CX3CR1,NM_001171171.1,11,82,596,124,899,NA,34,30,64,42,-81,247,320.8,69.5
Endogenous,APLNR,NM_005161.4,7,41,161,NA,174,22,25,15,45,26,-6.5,69.5,82.4,26
Endogenous,MXI1,NM_001008541.1,88,73,797,NA,431,60,52,102,115,63,4.5,160.5,296.6,74.5
Endogenous,FZD9,NM_003508.2,16,15,18,19,NA,18,13,7,16,9,-4.5,31.5,15.8,13.6
Endogenous,COL4A5,NM_000495.4,101,354,1226,NA,1713,149,43,72,73,347,-158.5,661.5,631.2,230.5
Endogenous,FCAR,NM_133278.2,13,11,26,NA,12,10,12,12,21,10,7,15,16.8,10.8
Endogenous,BRCA2,NM_000059.3,85,78,185,NA,151,48,103,52,109,100,-20,172,126.6,69.5
Endogenous,SFRP4,NM_003014.2,163,447,810,NA,3873,757,539,337,1984,896,-226.5,1569.5,1473.8,609.2
Endogenous,TLR3,NM_003265.2,89,NA,321,NA,420,131,165,107,68,130,71,167,212.6,122.7
Endogenous,IL2RG,NM_000206.1,21,22,153,NA,355,54,362,36,134,92,-48,176,205,51
Endogenous,CD84,NM_001184879.1,60,87,322,NA,NA,143,317,202,171,257,-28,428,217.5,172.2
Endogenous,HLA-DPA1,NM_033554.2,330,591,2305,2564,NA,2880,2838,1142,1211,1833,-991,4697,1671,1802
Endogenous,RBL2,NM_001323611.1,427,1334,2735,NA,2454,525,550,985,1228,886,214,2006,1478.8,932.5
Endogenous,CCL18,NM_002988.3,135,170,137,NA,NA,165,155,142,152,146,107.5,199.5,144.8,155.8
Endogenous,IRF3,NM_001197122.1,126,NA,1171,NA,1026,142,103,143,149,144,139,147,515,143
Endogenous,TNFRSF8,NM_001243.3,4,9,15,14,14,12,8,7,7,13,3,19,9.6,11
Endogenous,KIR3DL2,NM_006737.2,NA,7,NA,18,7,11,8,12,7,5,-0.5,19.5,7.3,10.6
Endogenous,TNFSF13,NM_003808.3,55,52,616,NA,374,112,62,55,55,63,-30.5,197.5,232.4,70.5
Endogenous,CLECL1,NM_172004.3,NA,NA,77,NA,NA,46,72,42,58,44,36,52,69,44
Endogenous,TNFRSF10B,NM_003842.3,59,30,390,NA,396,61,95,88,74,68,20.5,128.5,202.8,61.8
Endogenous,MAGEC2,NM_016249.3,16,14,26,NA,NA,16,12,8,20,7,-4,28,18.5,11.2
Endogenous,CDKN2A,NM_000077.4,91,131,166,NA,186,146,101,108,107,153,98,186,130.2,134.5
Endogenous,ADM,NM_001124.2,NA,75,86,NA,50,NA,62,80,58,79,67.5,87.5,64,78
Endogenous,PNOC,NM_001284244.1,35,37,16,33,13,45,44,36,49,40,30,46,31.4,38.2
Endogenous,CD247,NM_198053.2,39,40,NA,39,42,NA,NA,46,42,35,27.5,47.5,41,40
Endogenous,PTPRC,NM_080921.3,61,NA,126,NA,278,96,213,121,124,120,58.5,158.5,160.4,112.3
Endogenous,OAS3,NM_006187.3,756,156,1142,NA,1310,163,133,175,205,347,-113,623,709.2,210.2
Endogenous,LAG3,NM_002286.5,86,58,87,NA,190,84,136,66,73,115,-7.5,188.5,114.4,80.8
Endogenous,FOSL1,NM_005438.3,118,108,NA,NA,111,94,NA,86,110,119,56.5,156.5,113,101.8
Endogenous,EOMES,NM_001278182.1,38,32,39,50,116,28,118,40,60,55,5,77,74.2,41
Endogenous,IL10RA,NM_001558.2,76,NA,283,NA,NA,128,284,135,167,127,115,147,202.5,130
Endogenous,WDR76,NM_024908.3,70,89,126,NA,220,50,56,47,57,76,-8.5,147.5,105.8,65.5
Endogenous,GPC4,NM_001448.2,51,41,249,176,NA,194,71,81,90,88,-61.5,318.5,115.2,116
Endogenous,SLAMF7,NM_021181.3,35,56,55,NA,119,NA,154,60,70,53,42.5,70.5,86.6,56.3
Endogenous,RSAD2,NM_080657.4,1136,147,430,NA,912,242,285,252,230,872,-703,1817,598.6,378.2
Endogenous,TLR5,NM_003268.5,88,74,289,NA,NA,204,145,124,127,171,4,324,162.2,143.2
Endogenous,VEGFA,NM_001171623.1,NA,269,693,NA,410,123,127,140,216,127,-86,482,361.5,164.8
Endogenous,COL5A1,NM_000093.4,710,331,840,NA,NA,1087,465,727,635,2215,-1505,4447,662.5,1090
Endogenous,CD3D,NM_000732.4,41,59,87,NA,244,66,239,88,115,84,33,121,145.2,74.2
Endogenous,FBP1,NM_001127628.1,226,779,1223,NA,2169,307,446,219,1178,684,-401,1487,1048.4,497.2
Endogenous,ERO1A,NM_014584.2,1094,736,978,690,1096,319,531,817,548,484,106,1114,849.4,609.2
Endogenous,CCL21,NM_002989.2,18,33,NA,NA,62,29,29,21,138,86,-56.5,171.5,61.8,42.2
Endogenous,E2F3,NM_001243076.2,174,130,524,NA,528,136,147,143,239,136,125.5,153.5,322.4,136.2
Endogenous,LDHA,NM_001135239.1,7634,NA,3795,NA,4876,1137,1313,1528,1245,1529,549,2117,3772.6,1398
Endogenous,MS4A1,NM_021950.3,32,67,42,80,122,42,37,34,82,32,-15.5,116.5,63,51
Endogenous,CD69,NM_001781.2,45,47,60,NA,NA,53,77,68,60,62,30.5,90.5,60.5,57.5
Endogenous,SERPINB5,NM_002639.4,46,33,NA,49,13,NA,19,43,77,38,21.5,65.5,38.8,40.8
Endogenous,FAP,NM_004460.2,331,136,166,1693,NA,698,482,352,429,1482,-1343,3177,352,872.2
Endogenous,ITGA2,NM_002203.3,160,NA,498,NA,387,182,64,162,108,134,62,254,243.4,159.3
Endogenous,SIGLEC5,NM_003830.3,16,22,29,NA,NA,13,28,18,20,21,12,28,23.2,18.5
Endogenous,SIRPB2,NM_001134836.1,21,21,34,NA,NA,37,28,50,34,50,17.5,69.5,29.2,39.5
Endogenous,EPM2AIP1,NM_014805.3,333,166,1262,NA,765,206,278,191,385,469,-226,886,604.6,258
Endogenous,FGF18,NM_003862.2,12,19,23,NA,49,26,22,27,51,21,12,36,31.4,23.2
Endogenous,HRAS,NM_005343.3,134,201,886,NA,442,118,54,119,178,114,-6.5,325.5,338.8,138
Endogenous,CCND1,NM_053056.2,823,2876,4277,NA,4159,1212,332,377,914,2329,-1284,5372,2101,1698.5
Endogenous,LAMB3,NM_000228.2,63,43,NA,NA,326,194,26,25,177,102,-183.5,420.5,148,91
Endogenous,ID4,NM_001546.3,24,52,NA,112,92,70,31,55,140,93,-2,150,71.8,76.4
Endogenous,CCL4,NM_002984.2,53,48,122,NA,NA,34,85,74,48,73,9,113,77,57.2
Endogenous,GZMH,NM_033423.3,15,14,8,19,30,17,40,11,21,17,9.5,21.5,22.8,15.6
Endogenous,API5,NM_001142930.1,525,456,2172,NA,1762,389,511,453,687,1039,-426,1918,1131.4,584.2
Endogenous,PTGER4,NM_000958.2,32,42,497,NA,277,52,52,39,71,83,-19.5,144.5,185.8,54
Endogenous,ITGB8,NM_002214.2,39,247,1218,141,707,NA,99,107,214,96,-103,457,455.4,147.8
Endogenous,TNKS,NM_003747.2,120,166,720,NA,684,168,198,247,158,235,49.5,365.5,376,204
Endogenous,B2M,NM_004048.2,8147,3820,24913,NA,24990,3683,11795,5834,5651,8227,-2790.5,14837.5,15099.2,5391
Endogenous,TP53,NM_000546.2,118,102,892,NA,730,162,200,164,224,259,16.5,404.5,432.8,171.8
Endogenous,MAGEB2,NM_002364.4,16,NA,NA,NA,29,18,23,15,20,17,10.5,22.5,22,16.7
Endogenous,LYZ,NM_000239.2,298,420,1561,NA,3080,547,4676,900,1866,771,17.5,1429.5,2296.2,659.5
Endogenous,NCAM1,NM_000615.6,9,NA,33,31,29,18,9,14,39,15,-9,55,23.8,19.5
Endogenous,TCL1A,NM_001098725.1,6,4,8,NA,12,5,5,4,14,7,-0.5,11.5,9,5
Endogenous,HDC,NM_002112.3,7,23,NA,NA,72,34,58,15,24,50,-17.5,90.5,40.2,30.5
Endogenous,CD27,NM_001242.4,15,30,59,NA,249,19,320,19,77,29,2.5,46.5,144,24.2
Endogenous,SBNO2,NM_001100122.1,181,146,568,NA,NA,151,121,NA,154,133,106,178,256,143.3
Endogenous,PECAM1,NM_000442.4,251,571,2083,NA,1876,325,1273,799,877,720,229,1141,1272,603.8
Endogenous,SERPINH1,NM_001207014.1,131,58,462,NA,853,358,121,121,172,664,-693.5,1478.5,347.8,300.2
Endogenous,SPP1,NM_000582.2,3435,448,1623,NA,3180,1567,85,731,1148,1236,-523,2821,1894.2,995.5
Endogenous,EGFR,NM_005228.3,57,50,NA,NA,72,94,37,58,112,86,4,148,69.5,72
Endogenous,CASP8,NM_001228.4,35,24,132,144,201,36,60,83,35,62,-34.5,153.5,92.6,69.8
Endogenous,CCNA1,NM_001111045.1,15,11,NA,NA,9,13,13,14,17,15,10,18,13.5,13.2
Endogenous,TNFAIP3,NM_001270508.1,36,NA,183,NA,177,55,88,51,61,54,45,61,109,53.3
Endogenous,CDC25C,NM_001790.4,33,17,17,NA,46,7,23,7,22,11,-8,32,28.2,10.5
Endogenous,CXCR6,NM_006564.1,16,NA,59,NA,113,31,175,28,42,33,20.5,40.5,81,30.7
Endogenous,DLL1,NM_005618.3,13,29,NA,NA,78,56,20,17,60,38,-11.5,96.5,42.8,35
Endogenous,OAS1,NM_001032409.1,1120,150,968,NA,1381,128,248,299,238,428,-267,845,791,251.2
Endogenous,HLA-DQB1,NM_002123.3,59,7,173,309,858,221,403,119,11,128,-34,374,300.8,156.8
Endogenous,ROBO4,NM_019055.5,26,52,331,NA,191,NA,29,51,46,53,48,56,124.6,52
Endogenous,NFKB1,NM_003998.3,242,126,1290,706,2169,328,349,522,353,314,2,834,880.6,399.2
Endogenous,IFI27,NM_005532.3,11191,2564,3336,NA,6907,659,690,1234,2349,2884,-1241,5359,4894.6,1835.2
Endogenous,HLA-DMB,NM_002118.3,104,NA,709,NA,1428,462,884,455,458,566,288.5,732.5,716.6,494.3
Endogenous,CDKN1C,NM_000076.2,43,224,NA,NA,323,124,115,125,203,192,-23.5,372.5,171,166.2
Endogenous,CEP55,NM_018131.3,70,NA,61,NA,104,22,26,23,29,24,19,27,58,23
Endogenous,ARG1,NM_000045.3,13,16,NA,33,18,20,16,27,17,23,9.5,37.5,16,23.8
Endogenous,PLOD2,NM_182943.2,NA,217,309,658,371,239,137,174,252,404,-63.5,684.5,267.2,338.4
Endogenous,LAIR1,NM_001289023.2,36,43,174,NA,NA,62,107,73,51,89,21.5,129.5,92,66.8
Endogenous,SHC2,NM_012435.2,40,159,395,NA,111,174,44,NA,231,183,123,219,164.2,172
Endogenous,STAT3,NM_003150.3,997,849,4106,NA,4471,1196,1013,909,1018,1339,264,1984,2321,1073.2
Endogenous,CD45RO,NM_080921.3,122,NA,411,NA,935,284,758,240,274,292,162,370,500,272
Endogenous,CD2,NM_001767.3,105,68,305,NA,447,94,167,73,112,165,-65,303,227.2,100
Endogenous,IL7R,NM_002185.3,NA,16,190,NA,NA,42,149,92,133,68,-33,167,157.3,54.5
Endogenous,FLNB,NM_001164319.1,673,1468,NA,NA,2605,752,714,553,976,370,-819.5,2840.5,1242,785.8
Endogenous,PSMB5,NM_001130725.1,528,445,2136,NA,3342,NA,374,475,531,526,323.5,647.5,1382.2,482
Endogenous,SLC1A5,NM_001145144.1,195,749,3679,1118,1834,547,561,1424,576,388,-309.5,1974.5,1369,845.2
Endogenous,RICTOR,NM_001285439.1,250,1094,988,712,813,394,268,472,404,399,-70.5,1181.5,544.6,614.2
Endogenous,ZAP70,NM_001079.3,34,25,140,NA,NA,40,106,29,62,47,2,74,85.5,35.2
Endogenous,TNFAIP6,NM_007115.3,151,57,127,605,NA,250,NA,131,135,381,-244,756,137.7,284.8
Endogenous,BTLA,NM_001085357.1,NA,14,23,23,26,10,30,16,20,11,3.5,23.5,24.8,14.8
Endogenous,RELA,NM_021975.3,156,123,1175,NA,1202,140,104,173,173,135,78,230,562,142.8
Endogenous,MMP7,NM_002423.3,184,13,1590,644,56,217,48,69,1678,450,-502.5,1021.5,711.2,278.6
Endogenous,TCF3,NM_003200.3,201,105,1170,NA,1087,240,188,104,184,262,-130.5,497.5,566,177.8
Endogenous,IRF8,NM_002163.2,40,34,167,NA,NA,121,185,77,117,149,-31,257,127.2,95.2
Endogenous,NOS2,NM_000625.4,6,10,19,NA,14,7,9,10,10,12,7,15,11.6,9.8
Endogenous,A2M,NM_000014.4,694,1423,NA,NA,6063,1842,3129,2001,4351,2747,484.5,4104.5,3559.2,2003.2
Endogenous,CCL20,NM_001130046.1,20,8,19,NA,32,22,35,15,24,19,4.5,32.5,26,16
Endogenous,MKI67,NM_002417.2,308,30,257,NA,431,59,103,80,168,121,-34,214,253.4,72.5
Endogenous,IFNGR1,NM_000416.2,202,440,2178,1082,1461,760,505,545,554,538,205,1093,980,673
Endogenous,INHBA,NM_002192.2,161,80,90,NA,NA,210,168,174,109,464,-261,899,132,232
Endogenous,WNT5B,NM_030775.2,35,17,NA,NA,46,42,19,15,19,24,-20.5,79.5,29.8,24.5
Endogenous,CXCL5,NM_002994.4,21,NA,NA,16,13,17,14,16,16,NA,14.5,18.5,16,16.3
Endogenous,SOX10,NM_006941.3,8,9,NA,41,15,46,16,14,54,36,-26.5,81.5,23.2,29.2
Endogenous,EGR1,NM_001964.2,127,162,NA,NA,598,173,111,127,253,236,51,347,272.2,174.5
Endogenous,STAT4,NM_001243835.1,23,34,179,NA,159,71,88,43,96,71,1,113,109,54.8
Endogenous,IFIT3,NM_001031683.3,490,67,353,NA,486,75,112,111,87,327,-303,705,305.6,145
Endogenous,GMIP,NM_001288998.1,12,18,78,NA,113,17,18,18,15,22,12,28,47.2,18.8
Endogenous,ARNT2,NM_014862.3,153,157,287,NA,NA,89,32,36,208,153,-13,259,170,108.8
Endogenous,UBE2C,NM_007019.2,188,13,91,NA,176,23,67,34,102,94,-83.5,200.5,124.8,41
Endogenous,CHUK,NM_001278.4,222,211,906,NA,1102,138,145,166,269,207,98.5,278.5,528.8,180.5
Endogenous,GHR,NM_000163.2,64,140,382,1005,506,50,76,102,632,482,-468,1052,332,355.8
Endogenous,TPI1,NM_000365.5,2927,1072,4991,NA,3489,697,728,699,1090,960,139.5,1631.5,2645,857
Endogenous,HAVCR2,NM_032782.3,81,52,215,NA,NA,149,249,185,141,248,0.5,396.5,171.5,158.5
Endogenous,GOT2,NM_002080.3,505,733,1431,NA,1176,271,511,379,801,640,-152,1264,884.8,505.8
Endogenous,PIK3CA,NM_006218.2,103,176,528,404,575,185,189,318,218,248,-14.5,517.5,322.6,266.2
Endogenous,TNFSF9,NM_003811.3,NA,16,14,NA,18,17,15,16,19,NA,14.5,18.5,16.5,16.3
Endogenous,IDO1,NM_002164.5,24,17,48,NA,83,16,117,28,34,44,-23.5,84.5,61.2,26.2
Endogenous,APOE,NM_000041.2,553,284,2402,NA,4077,407,1377,1068,1034,2491,-2719,5617,1888.6,1062.5
Endogenous,LILRB2,NM_001278405.1,27,NA,139,NA,226,54,68,49,61,55,40,64,104.2,52.7
Endogenous,PARP4,NM_006437.3,283,183,904,NA,692,297,394,342,402,493,3,787,535,328.8
Endogenous,PFKM,NM_000289.5,133,172,496,NA,280,109,72,141,107,154,94.5,218.5,217.6,144
Endogenous,THY1,NM_006288.3,305,265,977,NA,1572,516,319,367,502,1285,-1010,2662,735,608.2
Endogenous,SAMD9,NM_017654.3,497,88,526,NA,NA,223,557,319,NA,375,-5,603,526.7,251.2
Endogenous,TGFB1,NM_000660.4,420,421,1701,NA,2433,578,557,481,600,953,-227,1661,1142.2,608.2
Endogenous,CD8A,NM_001768.6,24,35,130,NA,NA,31,90,34,56,61,-6.5,101.5,75,40.2
Endogenous,SELE,NM_000450.2,23,18,146,107,35,29,69,40,80,77,-43,149,70.6,54.2
Endogenous,CDKN2B,NM_004936.3,77,101,120,NA,NA,192,77,134,131,233,-14.5,381.5,101.2,165
Endogenous,CD5,NM_001346456.1,18,24,58,NA,NA,21,43,NA,39,21,16.5,28.5,39.5,22
Endogenous,HLA-A,NM_002116.7,1921,529,15117,NA,10570,1390,2879,1351,4509,4491,-3359,9201,6999.2,1940.2
Endogenous,FZD8,NM_031866.1,21,NA,570,131,291,41,59,25,44,45,-94,266,197,60.5
Endogenous,BCL2L1,NM_001191.3,231,333,1024,NA,1253,265,392,390,746,462,139.5,655.5,729.2,362.5
Endogenous,TNFRSF9,NM_001561.5,22,9,38,50,64,24,86,11,16,47,-43,101,45.2,28.2
Endogenous,XCL1/2,NM_002995.2,37,13,57,NA,45,16,35,22,NA,31,-6.5,53.5,43.5,20.5
Endogenous,MAGEA4,NM_001011548.1,10,12,9,NA,11,11,13,10,9,11,9.5,13.5,10.4,11
Endogenous,PMS2,NM_000535.6,249,281,592,NA,492,181,230,189,222,255,51,419,357,226.5
Endogenous,KLRD1,NM_002262.3,18,15,99,NA,108,43,69,49,42,27,-6,82,67.2,33.5
Endogenous,NFATC2,NM_173091.2,73,81,314,NA,NA,99,200,62,129,176,-61.5,318.5,179,104.5
Endogenous,VEGFB,NM_003377.3,154,98,1191,NA,1092,135,186,277,194,215,-78,490,563.4,181.2
Endogenous,CDC20,NM_001255.1,52,16,85,NA,136,18,21,23,33,29,1.5,45.5,65.4,21.5
Endogenous,OTOA,NM_001161683.1,11,16,11,22,NA,20,NA,10,11,17,10,26,11,17
Endogenous,TPSAB1/B2,NM_003294.3,84,148,829,NA,1887,437,1530,273,734,1180,-1087.5,2540.5,1012.8,509.5
Endogenous,P4HA1,NM_000917.3,415,73,207,336,451,131,156,107,112,215,-55,377,268.2,172.4
Endogenous,P2RY13,NM_023914.2,9,33,290,132,281,96,70,37,56,52,-51.5,184.5,141.2,70
Endogenous,EXO1,NM_006027.3,37,20,107,NA,162,25,40,42,54,36,-0.5,67.5,80,30.8
Endogenous,CD70,NM_001252.3,NA,20,16,NA,22,23,NA,8,17,45,-17.5,82.5,18.3,24
Endogenous,DDB2,NM_000107.2,166,137,637,NA,660,153,145,145,143,187,82,250,350.2,155.5
Endogenous,NDUFA4L2,NM_020142.3,26,45,131,NA,81,26,31,25,57,30,-2.5,73.5,65.2,31.5
Endogenous,IFITM1,NM_003641.3,3082,426,5458,NA,7022,929,1253,911,1325,1606,-131.5,2648.5,3628,968
Endogenous,IFNAR1,NM_000629.2,220,378,762,746,900,255,406,511,375,329,56,784,532.6,443.8
Endogenous,TREM1,NM_001242589.2,44,NA,33,NA,28,23,15,23,12,28,15.5,35.5,26.4,24.7
Endogenous,CXCL13,NM_006419.2,66,54,NA,NA,190,20,463,39,201,25,-18.5,97.5,230,34.5
Endogenous,TWIST2,NM_001271893.3,6,9,14,NA,10,8,10,6,6,10,5,13,9.2,8.2
Endogenous,HLA-DRB1,NM_002124.3,572,309,3846,NA,NA,1867,1853,1187,765,1407,167,2887,1759,1192.5
Endogenous,FGFR1,NM_001174064.1,286,248,NA,NA,534,92,71,62,160,135,-142,482,262.8,134.2
Endogenous,TBXAS1,NM_001061.4,40,NA,463,NA,NA,212,269,196,193,210,172,236,241.2,206
Endogenous,NCR1,NM_001145457.2,5,9,26,31,NA,12,21,17,16,21,-1.5,34.5,17,18
Endogenous,SOX11,NM_003108.3,25,17,16,118,NA,39,17,16,33,61,-49,127,22.8,50.2
Endogenous,TLR2,NM_001318787.1,129,NA,480,NA,500,253,199,236,171,224,180.5,296.5,295.8,237.7
Endogenous,TWF1,NM_002822.4,541,753,2583,NA,3101,620,756,524,786,735,420.5,952.5,1553.4,658
Endogenous,CCL5,NM_002985.2,64,47,301,NA,705,65,444,91,147,124,-23.5,212.5,332.2,81.8
Endogenous,ITGAL,NM_002209.2,22,89,248,NA,NA,76,246,48,75,72,46.5,114.5,147.8,71.2
Endogenous,MYCT1,NM_025107.2,23,36,NA,NA,47,NA,29,41,58,44,24,56,39.2,40.3
Endogenous,CD96,NM_005816.4,13,17,53,NA,168,33,159,36,68,47,12,68,92.2,33.2
Endogenous,PROM1,NM_001145847.1,20,12,273,24,NA,NA,124,18,119,50,-30,98,134,26
Endogenous,OASL,NM_003733.2,158,15,86,NA,239,25,47,33,33,53,-17,95,112.6,31.5
Endogenous,IFNG,NM_000619.2,11,14,17,20,15,19,NA,12,13,14,6.5,26.5,14,15.8
Endogenous,BATF3,NM_018664.2,23,18,137,NA,126,39,25,30,30,39,16.5,52.5,68.2,31.5
Endogenous,EZH2,NM_004456.4,107,27,170,NA,253,52,92,45,64,79,-6,130,137.2,50.8
Endogenous,IRF5,NM_002200.3,34,24,92,NA,NA,34,34,23,40,38,3,59,50,29.8
Endogenous,PCK2,NM_001018073.2,137,184,658,NA,1094,106,128,139,144,150,71.5,251.5,432.2,144.8
Endogenous,EPCAM,NM_002354.2,498,438,1202,783,1165,165,239,583,482,304,-114.5,1001.5,717.2,454.6
Endogenous,CD19,NM_001770.4,19,32,31,NA,50,NA,73,30,40,33,25.5,37.5,42.6,31.7
Endogenous,GBP4,NM_052941.4,93,77,228,NA,515,89,458,145,166,120,5,229,292,107.8
Endogenous,MSH6,NM_000179.2,72,76,298,NA,285,67,69,58,105,93,28,132,165.8,73.5
Endogenous,TNFRSF11B,NM_002546.3,30,26,NA,37,22,NA,16,12,20,23,2,58,22,24.5
Endogenous,NOTCH1,NM_017617.3,54,71,885,NA,988,93,93,81,109,108,40.5,148.5,425.8,88.2
Endogenous,CASP9,XM_011542270.1,40,43,264,NA,212,66,48,38,72,52,8.5,100.5,127.2,49.8
Endogenous,RAD51C,NM_058216.2,45,125,222,211,219,50,40,93,101,50,-62.5,237.5,125.4,105.8
Endogenous,HLA-DMA,NM_006120.3,333,NA,1137,NA,NA,667,1068,582,579,706,396,892,779.2,651.7
Endogenous,SFRP1,NM_003012.3,29,78,NA,144,191,165,39,46,307,182,-52.5,295.5,141.5,123
Endogenous,MAGEA1,NM_004988.4,23,14,NA,28,21,20,21,22,22,32,8,40,21.8,23.2
Endogenous,ENTPD1,NM_001098175.1,107,195,1273,NA,932,304,448,289,431,396,128.5,556.5,638.2,296
Endogenous,ROCK1,NM_005406.2,94,135,540,NA,486,123,119,156,162,126,81,201,280.2,135
Endogenous,FCGR2A,NM_021642.3,184,288,741,955,1459,744,846,707,423,535,221.5,1057.5,730.6,645.8
Endogenous,NGFR,NM_002507.3,23,44,NA,54,79,67,31,83,104,66,34.5,86.5,59.2,62.8
Endogenous,ALDOC,NM_005165.2,419,NA,632,147,178,93,40,190,546,89,-52.5,335.5,363,129.8
Endogenous,CCNE1,NM_001238.1,59,22,117,NA,91,31,30,45,78,48,5.5,73.5,75,36.5
Endogenous,ITGAX,NM_000887.4,115,104,460,NA,NA,295,216,116,256,289,-152.5,563.5,261.8,201
Endogenous,BLM,NM_000057.3,60,52,48,NA,57,33,32,35,NA,47,9.5,77.5,49.2,41.8
Endogenous,MLANA,NM_005511.1,20,18,32,32,9,15,10,11,13,26,-1.5,42.5,16.8,20.4
Endogenous,FCGR1A,NM_000566.3,49,NA,107,NA,NA,118,128,120,69,121,113.5,125.5,88.2,119.7
Endogenous,CD47,NM_001777.3,925,409,2127,NA,1160,489,504,434,454,559,246.5,746.5,1034,472.8
Endogenous,CSF2,NM_000758.3,13,19,14,14,14,15,15,19,NA,23,9,25,14,18
Endogenous,CDH5,NM_001795.3,31,85,382,NA,242,71,85,75,137,102,34.5,142.5,175.4,83.2
Endogenous,SLC7A5,NM_003486.6,316,174,355,NA,138,67,155,42,90,76,-93.5,334.5,210.8,89.8
Endogenous,GIMAP4,NM_018326.2,103,177,764,NA,725,219,510,348,334,286,25.5,541.5,487.2,257.5
Endogenous,HIF1A,NM_181054.2,705,384,1247,NA,999,586,836,295,1178,814,-261,1459,993,519.8
Endogenous,CDK2,NM_001290230.1,188,98,1269,NA,1287,149,138,111,172,196,-16.5,323.5,610.8,138.5
Endogenous,PDCD1,NM_005018.1,12,14,19,NA,NA,20,30,18,22,14,5,29,20.8,16.5
Endogenous,ATF3,NM_001674.3,66,31,171,NA,217,35,53,48,38,33,10.5,70.5,109,36.8
Endogenous,TIE1,NM_005424.4,40,81,327,NA,254,45,72,80,137,109,36.5,152.5,166,78.8
Endogenous,CD44,NM_001001392.1,630,188,1581,NA,1674,513,358,126,221,523,-314.5,1025.5,892.8,337.5
Endogenous,ALDOA,NM_000034.3,4299,4732,13281,8295,11514,1698,2312,1657,2557,1484,-2955.5,9344.5,6792.6,3573.2
Endogenous,FAS,NM_000043.3,35,14,127,NA,104,44,46,25,54,65,-35,125,73.2,37
Endogenous,MRE11,NM_001330347.1,156,188,727,NA,542,250,200,111,227,287,39.5,435.5,370.4,209
Endogenous,IL10,NM_000572.2,14,12,24,NA,NA,14,23,16,8,19,6.5,26.5,17.2,15.2
Endogenous,BMP2,NM_001200.3,10,NA,NA,64,25,29,23,28,42,38,-23.5,116.5,25,39.8
Endogenous,BAX,NM_004324.3,291,159,902,NA,1370,183,255,213,314,275,45,413,626.4,207.5
Endogenous,EIF5AL1,NM_001099692.1,5,14,19,NA,5,13,13,14,10,NA,11.5,15.5,10.4,13.7
Endogenous,KIT,NM_000222.2,NA,36,NA,364,153,160,182,40,139,292,-338,670,158,178.4
Endogenous,CDK6,NM_001145306.1,27,35,392,NA,344,68,70,88,65,92,32,128,179.6,70.8
Endogenous,SPIB,NM_003121.3,10,10,27,NA,NA,16,21,10,15,16,1,25,18.2,13
Endogenous,PFKFB3,NM_004566.3,36,33,NA,NA,312,64,44,38,45,85,-32.5,155.5,109.2,55
Endogenous,CXCL12,NM_199168.3,18,59,1541,NA,920,136,111,101,131,94,31,199,544.2,97.5
Endogenous,CSF3,NM_000759.3,7,10,NA,9,5,15,2,16,7,15,2.5,22.5,5.2,13
Endogenous,KIR2DL3,NM_015868.2,NA,22,NA,21,19,24,19,19,20,17,14.5,26.5,19.3,20.6
Endogenous,CD40,NM_001250.5,40,67,382,NA,355,83,109,67,97,98,20.5,144.5,196.6,78.8
Endogenous,IRF1,NM_002198.2,223,158,634,NA,1175,258,729,202,283,243,118,342,608.8,215.2
Endogenous,MGMT,NM_002412.3,183,299,779,NA,1050,244,192,232,195,228,131.5,399.5,479.8,250.8
Endogenous,GLUD1,NM_005271.2,334,648,4005,NA,3818,723,585,670,758,582,535.5,835.5,1900,655.8
Endogenous,IFI35,NM_005533.4,240,192,484,NA,764,100,176,107,176,181,-20.5,319.5,368,145
Endogenous,PF4,NM_002619.3,14,22,20,15,12,12,18,18,11,22,4.5,32.5,15,17.8
Endogenous,GPSM3,NM_001276501.1,39,NA,274,NA,334,92,164,88,184,88,82,98,199,89.3
Endogenous,SLC2A1,NM_006516.2,72,42,147,NA,97,43,27,55,32,32,22.5,74.5,75,43
Endogenous,IL2,NM_000586.2,15,21,23,27,13,17,30,22,11,18,12,28,18.4,21
Endogenous,SNAI1,NM_005985.3,60,62,129,NA,104,73,53,69,80,82,49.5,101.5,85.2,71.5
Endogenous,CTNNB1,NM_001098209.1,1955,1539,12692,NA,8567,2889,2092,2286,2733,3255,832.5,4708.5,5607.8,2492.2
