code_class,gene,accesion_number,pre_count_1,post_count_1,pre_count_2,post_count_2,pre_count_3,post_count_3,pre_count_4,post_count_4,pre_count_5,post_count_5,lower_bound,upper_bound,mean_pre,mean_post
Endogenous,CNTFR,NM_147164.2,15,NA,NA,15,10,16,23,NA,9,17,12,20,14.2,16
Endogenous,CD244,NM_001166663.1,17,11,32,17,30,20,23,15,18,21,7.5,27.5,24,16.8
Endogenous,CSF2RB,NM_000395.2,17,24,96,NA,86,14,20,16,22,19,4,36,48.2,18.2
Endogenous,MAP3K7,NM_003188.3,278,389,1499,NA,970,435,441,284,400,476,258.5,606.5,717.6,396
Endogenous,FASLG,NM_000639.2,16,14,36,49,94,22,59,17,34,30,-2.5,49.5,47.8,26.4
Endogenous,CD209,NM_021155.2,13,32,NA,NA,48,21,43,28,25,34,19,43,32.2,28.8
Endogenous,IRF7,NM_004029.2,465,177,802,NA,NA,195,175,199,283,375,-75,645,431.2,236.5
Endogenous,PTCD2,NM_001284403.1,117,174,175,193,282,78,82,78,93,112,-66,318,149.8,127
Endogenous,PIK3R2,NM_005027.3,382,256,1731,NA,1377,188,84,166,169,182,71,367,748.6,198
Endogenous,LILRA5,NM_181879.2,23,17,67,NA,78,23,34,45,26,32,-10,78,45.6,29.2
Endogenous,IL32,NM_004221.4,297,165,693,NA,1591,237,1220,276,357,547,-228,1012,831.6,306.2
Endogenous,CCND3,NM_001136017.2,45,83,696,NA,310,68,43,94,75,55,29,133,233.8,75
Endogenous,BIRC5,NM_001168.2,198,24,214,NA,NA,41,NA,64,159,72,-5.5,118.5,190.3,50.2
Endogenous,LGALS9,NM_002308.3,42,41,233,NA,435,45,44,38,43,52,24.5,68.5,159.4,44
Endogenous,RASAL1,NM_001193520.1,39,28,36,43,35,28,32,42,NA,25,7,63,35.5,33.2
Endogenous,PDCD1LG2,NM_025239.3,39,33,74,NA,108,44,112,61,65,70,5,109,79.6,52
Endogenous,IL11,NM_000641.3,51,18,119,NA,192,50,29,33,44,62,-10.5,105.5,87,40.8
Endogenous,PRKX,NM_005044.4,19,13,16,28,15,13,15,20,18,9,2.5,30.5,16.6,16.6
Endogenous,SNCA,NM_001146055.1,16,19,NA,92,64,57,31,80,36,41,-17.5,138.5,36.8,57.8
Endogenous,ADGRE1,NM_001256252.1,16,9,49,38,64,28,19,17,18,25,0.5,44.5,33.2,23.4
Endogenous,PSMB9,NM_002800.4,115,73,268,NA,493,56,246,93,91,77,43,123,242.6,74.8
Endogenous,RUNX3,NM_001031680.2,26,38,385,NA,182,43,64,39,37,46,28.5,56.5,138.8,41.5
Endogenous,PGPEP1,NM_001300927.1,33,60,384,NA,430,43,37,49,38,38,17.5,85.5,184.4,47.5
Endogenous,MELK,NM_014791.2,160,53,101,NA,150,45,80,47,113,78,0.5,124.5,120.8,55.8
Endogenous,ISG15,NM_005101.3,1631,150,578,NA,1190,90,102,228,533,447,-295.5,892.5,806.8,228.8
Endogenous,EIF2B4,NM_001034116.1,117,104,664,NA,549,107,68,97,108,96,82,122,301.2,101
Endogenous,IRF9,NM_006084.4,548,421,1535,NA,1784,259,332,268,671,344,38.5,650.5,974,323
Endogenous,IL1A,NM_000575.3,32,22,125,NA,105,29,28,31,20,38,15.5,51.5,62,30
Endogenous,FCRL2,NM_001159488.1,13,20,23,35,47,26,NA,12,24,12,-9,47,26.8,21
Endogenous,EIF4EBP1,NM_004095.3,1412,128,1231,NA,1167,251,285,109,341,257,-65.5,450.5,887.2,186.2
Endogenous,LTBP1,NM_000627.3,160,99,450,NA,NA,215,106,173,184,157,70,302,225,161
Endogenous,CD40LG,NM_000074.2,NA,13,27,NA,NA,14,25,22,25,20,2,34,25.7,17.2
Endogenous,HEY1,NM_001040708.1,166,367,NA,338,222,95,268,234,233,326,78,494,222.2,272
Endogenous,HLA-DQA1,NM_002122.3,295,NA,1238,NA,5217,909,3675,599,13,637,134,1374,2087.6,715
Endogenous,PRLR,NM_000949.5,601,1434,967,1147,1404,501,377,135,684,643,-468,2116,806.6,772
Endogenous,TNFRSF11A,NM_001270949.1,40,20,146,113,NA,56,42,219,42,37,-77,227,67.5,89
