<Header>
"FileVersion,2.0"
"SoftwareVersion,2.3.0.44"
"SystemType,Gen3"
</Header>
<Sample_Attributes>
"ID,01013"
"Owner,Administrator"
"Comments,"
"Date,20220128"
"GeneRLF,NS_IO_360_v1.0"
"SystemAPF,n6_vDV1"
"AssayType,Non Specific"
</Sample_Attributes>
<Lane_Attributes>
"ID,1"
"FovCount,194"
"FovCounted,194"
"ScannerID,1706P0203"
"StagePosition,1"
"BindingDensity,1.36"
"CartridgeID,30102613280522-01"
"CartridgeBarcode,30102613280522"
</Lane_Attributes>
<Code_Summary>
"CodeClass,Name,Accession,Count"
"Endogenous,CLEC7A,NM_197954.2,151"
"Endogenous,TNFRSF4,NM_003327.3,36"
"Endogenous,MS4A6A,NM_152852.2,117"
"Endogenous,ANGPT2,NM_001147.2,162"
"Endogenous,APH1B,NM_001145646.1,521"
"Endogenous,RORC,NM_001001523.1,366"
"Endogenous,NECTIN2,NM_001042724.1,3528"
"Endogenous,DPP4,NM_001935.3,105"
"Endogenous,CCL2,NM_002982.3,1097"
"Endogenous,NF1,NM_000267.3,734"
"Endogenous,S100A9,NM_002965.3,396"
"Endogenous,NFKBIA,NM_020529.2,5314"
"Endogenous,BNIP3L,NM_001330491.1,1250"
"Endogenous,CST2,NM_001322.2,14"
"Endogenous,APOL6,NM_030641.3,708"
"Endogenous,BRD4,NM_001330384.1,2527"
"Endogenous,SLC16A1,NM_003051.3,278"
"Endogenous,THBD,NM_000361.2,236"
"Endogenous,TIGIT,NM_173799.2,21"
"Endogenous,VSIR,NM_022153.1,437"
"Endogenous,TRIM21,NM_003141.3,349"
"Endogenous,NBN,NM_002485.4,1134"
"Endogenous,WNT4,NM_030761.4,228"
"Endogenous,CXCL8,NM_000584.3,33"
"Endogenous,FGF9,NM_002010.2,19"
"Endogenous,C5AR1,NM_001736.3,41"
"Endogenous,TNFRSF1B,NM_001066.2,491"
"Endogenous,HLA-DRB5,NM_002125.3,2862"
"Endogenous,GLUL,NM_002065.6,10375"
"Endogenous,LY9,NM_001033667.2,59"
"Endogenous,TAP1,NM_000593.5,405"
"Endogenous,IFIH1,NM_022168.3,902"
"Endogenous,DEPTOR,NM_001283012.1,1113"
"Endogenous,CSF1R,NM_005211.3,1133"
"Endogenous,MARCO,NM_006770.3,27"
"Endogenous,NFIL3,NM_001289999.1,578"
"Endogenous,IKBKG,NM_001099856.4,441"
"Endogenous,CD58,NM_001144822.1,163"
"Endogenous,LOXL2,NM_002318.2,358"
"Endogenous,SPRY4,NM_030964.3,855"
"Endogenous,NFAM1,NM_145912.5,53"
"Endogenous,SYK,NM_003177.5,247"
"Endogenous,COMP,NM_000095.2,46"
"Endogenous,IFI6,NM_002038.3,11399"
"Endogenous,RASGRF1,NM_001145648.1,30"
"Endogenous,HDAC5,NM_001015053.1,721"
"Endogenous,BAMBI,NM_012342.2,462"
"Endogenous,MAGEC1,NM_005462.4,14"
"Endogenous,FYN,NM_002037.5,724"
"Endogenous,TNFSF4,NM_001297562.1,46"
"Endogenous,CD274,NM_014143.3,103"
"Endogenous,PRKACB,NM_182948.2,1675"
"Endogenous,IFIT2,NM_001547.4,292"
"Endogenous,PPARG,NM_005037.5,210"
"Endogenous,PTEN,NM_000314.6,1111"
"Endogenous,FOXP3,NM_014009.3,48"
"Endogenous,SREBF1,NM_001005291.1,5387"
"Endogenous,CD36,NM_001001548.2,1744"
"Endogenous,AXIN1,NM_181050.1,420"
"Endogenous,KLRK1,NM_007360.3,84"
"Endogenous,GBP1,NM_002053.2,273"
"Endogenous,CXCL11,NM_005409.4,19"
"Endogenous,CXCL10,NM_001565.3,273"
"Endogenous,RIPK1,NM_003804.3,1310"
"Endogenous,REN,NM_000537.3,43"
"Endogenous,PRF1,NM_001083116.1,71"
"Endogenous,EIF2AK2,NM_001135652.2,1445"
"Endogenous,LIF,NM_002309.4,123"
"Endogenous,BRD3,NM_007371.3,2058"
"Endogenous,IGF2R,NM_000876.2,880"
"Endogenous,FPR1,NM_002029.3,145"
"Endogenous,DUSP5,NM_004419.3,1862"
"Endogenous,APC,NM_001127510.2,1254"
"Endogenous,HDAC3,NM_003883.3,997"
"Endogenous,CES3,NM_001185176.1,31"
"Endogenous,OAS2,NM_016817.2,1455"
"Endogenous,HDAC11,NM_001330636.1,625"
"Endogenous,THBS1,NM_003246.2,5385"
"Endogenous,SLC11A1,NM_000578.3,39"
"Endogenous,MAGEA3/A6,NM_005362.3,13"
"Endogenous,ARID1A,NM_006015.4,1886"
"Endogenous,CD48,NM_001778.3,62"
"Endogenous,GZMA,NM_006144.3,49"
"Endogenous,ICOSLG,NM_015259.4,259"
"Endogenous,PIK3R5,NM_014308.3,185"
"Endogenous,GZMM,NM_005317.2,30"
"Endogenous,WNT5A,NM_003392.3,540"
"Endogenous,TLR4,NR_024168.1,699"
"Endogenous,GZMB,NM_004131.4,16"
"Endogenous,PARP9,NM_001146103.1,702"
"Endogenous,LY96,NM_001195797.1,403"
"Endogenous,RAD50,NM_005732.3,1609"
"Endogenous,MX1,NM_001144925.2,480"
"Endogenous,CENPF,NM_016343.3,142"
"Endogenous,SELL,NM_000655.4,85"
"Endogenous,TNFSF10,NM_003810.3,5182"
"Endogenous,IL12RB2,NM_001319233.1,22"
"Endogenous,CXCL9,NM_002416.2,107"
"Endogenous,TRAT1,NM_016388.3,38"
"Endogenous,STC1,NM_003155.2,306"
"Endogenous,IL2RB,NM_000878.2,179"
"Endogenous,LILRB4,NM_001278426.3,150"
"Endogenous,SOX2,NM_003106.2,39"
"Endogenous,HCK,NM_001172129.1,363"
"Endogenous,WNT2B,NM_001291880.1,128"
"Endogenous,IL1B,NM_000576.2,132"
"Endogenous,TLR1,NM_003263.3,212"
"Endogenous,CCL22,NM_002990.3,45"
"Endogenous,ICAM2,NM_000873.3,235"
"Endogenous,MAP3K12,NM_006301.3,205"
"Endogenous,JAG1,NM_000214.2,1067"
"Endogenous,CCL3/L1,NM_021006.5,79"
"Endogenous,SOCS1,NM_003745.1,106"
"Endogenous,BCL2,NM_000633.2,1202"
"Endogenous,MAP3K8,NM_001244134.1,1028"
"Endogenous,MMP1,NM_002421.2,73"
"Endogenous,CMKLR1,NM_004072.2,230"
"Endogenous,TNFRSF17,NM_001192.2,21"
"Endogenous,TLR8,NM_138636.4,137"
"Endogenous,TPM1,NM_000366.5,4875"
"Endogenous,CXorf36,NM_024689.2,489"
"Endogenous,NLRP3,NM_001079821.2,74"
"Endogenous,DEFB134,NM_001302695.1,10"
"Endogenous,HLA-DQA2,NM_020056.4,22"
"Endogenous,CX3CR1,NM_001171171.1,596"
"Endogenous,APLNR,NM_005161.4,161"
"Endogenous,MXI1,NM_001008541.1,797"
"Endogenous,FZD9,NM_003508.2,18"
"Endogenous,COL4A5,NM_000495.4,1226"
"Endogenous,FCAR,NM_133278.2,26"
"Endogenous,BRCA2,NM_000059.3,185"
"Endogenous,SFRP4,NM_003014.2,810"
"Endogenous,TLR3,NM_003265.2,321"
"Endogenous,IL2RG,NM_000206.1,153"
"Endogenous,CD84,NM_001184879.1,322"
"Endogenous,HLA-DPA1,NM_033554.2,2305"
"Endogenous,RBL2,NM_001323611.1,2735"
"Endogenous,CCL18,NM_002988.3,137"
"Endogenous,IRF3,NM_001197122.1,1171"
"Endogenous,TNFRSF8,NM_001243.3,15"
"Endogenous,KIR3DL2,NM_006737.2,13"
"Endogenous,TNFSF13,NM_003808.3,616"
"Endogenous,CLECL1,NM_172004.3,77"
"Endogenous,TNFRSF10B,NM_003842.3,390"
"Endogenous,MAGEC2,NM_016249.3,26"
"Endogenous,CDKN2A,NM_000077.4,166"
"Endogenous,ADM,NM_001124.2,86"
"Endogenous,PNOC,NM_001284244.1,16"
"Endogenous,CD247,NM_198053.2,26"
"Endogenous,PTPRC,NM_080921.3,126"
"Endogenous,OAS3,NM_006187.3,1142"
"Endogenous,LAG3,NM_002286.5,87"
"Endogenous,FOSL1,NM_005438.3,188"
"Endogenous,EOMES,NM_001278182.1,39"
"Endogenous,IL10RA,NM_001558.2,283"
"Endogenous,WDR76,NM_024908.3,126"
"Endogenous,GPC4,NM_001448.2,249"
"Endogenous,SLAMF7,NM_021181.3,55"
"Endogenous,RSAD2,NM_080657.4,430"
"Endogenous,TLR5,NM_003268.5,289"
"Endogenous,VEGFA,NM_001171623.1,693"
"Endogenous,COL5A1,NM_000093.4,840"
"Endogenous,CD3D,NM_000732.4,87"
"Endogenous,FBP1,NM_001127628.1,1223"
"Endogenous,ERO1A,NM_014584.2,978"
"Endogenous,CCL21,NM_002989.2,586"
"Endogenous,E2F3,NM_001243076.2,524"
"Endogenous,LDHA,NM_001135239.1,3795"
"Endogenous,MS4A1,NM_021950.3,42"
"Endogenous,CD69,NM_001781.2,60"
"Endogenous,SERPINB5,NM_002639.4,1563"
"Endogenous,FAP,NM_004460.2,166"
"Endogenous,ITGA2,NM_002203.3,498"
"Endogenous,SIGLEC5,NM_003830.3,29"
"Endogenous,SIRPB2,NM_001134836.1,34"
"Endogenous,EPM2AIP1,NM_014805.3,1262"
"Endogenous,FGF18,NM_003862.2,23"
"Endogenous,HRAS,NM_005343.3,886"
"Endogenous,CCND1,NM_053056.2,4277"
"Endogenous,LAMB3,NM_000228.2,2955"
"Endogenous,ID4,NM_001546.3,602"
"Endogenous,CCL4,NM_002984.2,122"
"Endogenous,GZMH,NM_033423.3,8"
"Endogenous,API5,NM_001142930.1,2172"
"Endogenous,PTGER4,NM_000958.2,497"
"Endogenous,ITGB8,NM_002214.2,1218"
"Endogenous,TNKS,NM_003747.2,720"
"Endogenous,B2M,NM_004048.2,24913"
"Endogenous,TP53,NM_000546.2,892"
"Endogenous,MAGEB2,NM_002364.4,49"
"Endogenous,LYZ,NM_000239.2,1561"
"Endogenous,NCAM1,NM_000615.6,33"
"Endogenous,TCL1A,NM_001098725.1,8"
"Endogenous,HDC,NM_002112.3,163"
"Endogenous,CD27,NM_001242.4,59"
"Endogenous,SBNO2,NM_001100122.1,568"
"Endogenous,PECAM1,NM_000442.4,2083"
"Endogenous,SERPINH1,NM_001207014.1,462"
"Endogenous,SPP1,NM_000582.2,1623"
"Endogenous,EGFR,NM_005228.3,1069"
"Endogenous,CASP8,NM_001228.4,132"
"Endogenous,CCNA1,NM_001111045.1,69"
"Endogenous,TNFAIP3,NM_001270508.1,183"
"Endogenous,CDC25C,NM_001790.4,17"
"Endogenous,CXCR6,NM_006564.1,59"
"Endogenous,DLL1,NM_005618.3,553"
"Endogenous,OAS1,NM_001032409.1,968"
"Endogenous,HLA-DQB1,NM_002123.3,173"
"Endogenous,ROBO4,NM_019055.5,331"
"Endogenous,NFKB1,NM_003998.3,1290"
"Endogenous,IFI27,NM_005532.3,3336"
"Endogenous,HLA-DMB,NM_002118.3,709"
"Endogenous,CDKN1C,NM_000076.2,1256"
"Endogenous,CEP55,NM_018131.3,61"
"Endogenous,ARG1,NM_000045.3,44"
"Endogenous,PLOD2,NM_182943.2,309"
"Endogenous,LAIR1,NM_001289023.2,174"
"Endogenous,SHC2,NM_012435.2,395"
"Endogenous,STAT3,NM_003150.3,4106"
"Endogenous,CD45RO,NM_080921.3,411"
"Endogenous,CD2,NM_001767.3,305"
"Endogenous,IL7R,NM_002185.3,190"
"Endogenous,FLNB,NM_001164319.1,5618"
"Endogenous,PSMB5,NM_001130725.1,2136"
"Endogenous,SLC1A5,NM_001145144.1,3679"
"Endogenous,RICTOR,NM_001285439.1,988"
"Endogenous,ZAP70,NM_001079.3,140"
"Endogenous,TNFAIP6,NM_007115.3,127"
"Endogenous,BTLA,NM_001085357.1,23"
"Endogenous,RELA,NM_021975.3,1175"
"Endogenous,MMP7,NM_002423.3,1590"
"Endogenous,TCF3,NM_003200.3,1170"
"Endogenous,IRF8,NM_002163.2,167"
"Endogenous,NOS2,NM_000625.4,19"
"Endogenous,A2M,NM_000014.4,16503"
"Endogenous,CCL20,NM_001130046.1,19"
"Endogenous,MKI67,NM_002417.2,257"
"Endogenous,IFNGR1,NM_000416.2,2178"
"Endogenous,INHBA,NM_002192.2,90"
"Endogenous,WNT5B,NM_030775.2,256"
"Endogenous,CXCL5,NM_002994.4,32"
"Endogenous,SOX10,NM_006941.3,2183"
"Endogenous,EGR1,NM_001964.2,4093"
"Endogenous,STAT4,NM_001243835.1,179"
"Endogenous,IFIT3,NM_001031683.3,353"
"Endogenous,GMIP,NM_001288998.1,78"
"Endogenous,ARNT2,NM_014862.3,287"
"Endogenous,UBE2C,NM_007019.2,91"
"Endogenous,CHUK,NM_001278.4,906"
"Endogenous,GHR,NM_000163.2,382"
"Endogenous,TPI1,NM_000365.5,4991"
"Endogenous,HAVCR2,NM_032782.3,215"
"Endogenous,GOT2,NM_002080.3,1431"
"Endogenous,PIK3CA,NM_006218.2,528"
"Endogenous,TNFSF9,NM_003811.3,14"
"Endogenous,IDO1,NM_002164.5,48"
"Endogenous,APOE,NM_000041.2,2402"
"Endogenous,LILRB2,NM_001278405.1,139"
"Endogenous,PARP4,NM_006437.3,904"
"Endogenous,PFKM,NM_000289.5,496"
"Endogenous,THY1,NM_006288.3,977"
"Endogenous,SAMD9,NM_017654.3,526"
"Endogenous,TGFB1,NM_000660.4,1701"
"Endogenous,CD8A,NM_001768.6,130"
"Endogenous,SELE,NM_000450.2,146"
"Endogenous,CDKN2B,NM_004936.3,120"
"Endogenous,CD5,NM_001346456.1,58"
"Endogenous,HLA-A,NM_002116.7,15117"
"Endogenous,FZD8,NM_031866.1,570"
"Endogenous,BCL2L1,NM_001191.3,1024"
"Endogenous,TNFRSF9,NM_001561.5,38"
"Endogenous,XCL1/2,NM_002995.2,57"
"Endogenous,MAGEA4,NM_001011548.1,9"
"Endogenous,PMS2,NM_000535.6,592"
"Endogenous,KLRD1,NM_002262.3,99"
"Endogenous,NFATC2,NM_173091.2,314"
"Endogenous,VEGFB,NM_003377.3,1191"
"Endogenous,CDC20,NM_001255.1,85"
"Endogenous,OTOA,NM_001161683.1,11"
"Endogenous,TPSAB1/B2,NM_003294.3,829"
"Endogenous,P4HA1,NM_000917.3,207"
"Endogenous,P2RY13,NM_023914.2,290"
"Endogenous,EXO1,NM_006027.3,107"
"Endogenous,CD70,NM_001252.3,16"
"Endogenous,DDB2,NM_000107.2,637"
"Endogenous,NDUFA4L2,NM_020142.3,131"
"Endogenous,IFITM1,NM_003641.3,5458"
"Endogenous,IFNAR1,NM_000629.2,762"
"Endogenous,TREM1,NM_001242589.2,33"
"Endogenous,CXCL13,NM_006419.2,6373"
"Endogenous,TWIST2,NM_001271893.3,14"
"Endogenous,HLA-DRB1,NM_002124.3,3846"
"Endogenous,FGFR1,NM_001174064.1,1890"
"Endogenous,TBXAS1,NM_001061.4,463"
"Endogenous,NCR1,NM_001145457.2,26"
"Endogenous,SOX11,NM_003108.3,16"
"Endogenous,TLR2,NM_001318787.1,480"
"Endogenous,TWF1,NM_002822.4,2583"
"Endogenous,CCL5,NM_002985.2,301"
"Endogenous,ITGAL,NM_002209.2,248"
"Endogenous,MYCT1,NM_025107.2,115"
"Endogenous,CD96,NM_005816.4,53"
"Endogenous,PROM1,NM_001145847.1,273"
"Endogenous,OASL,NM_003733.2,86"
"Endogenous,IFNG,NM_000619.2,17"
"Endogenous,BATF3,NM_018664.2,137"
"Endogenous,EZH2,NM_004456.4,170"
"Endogenous,IRF5,NM_002200.3,92"
"Endogenous,PCK2,NM_001018073.2,658"
"Endogenous,EPCAM,NM_002354.2,1202"
"Endogenous,CD19,NM_001770.4,31"
"Endogenous,GBP4,NM_052941.4,228"
"Endogenous,MSH6,NM_000179.2,298"
"Endogenous,TNFRSF11B,NM_002546.3,59"
"Endogenous,NOTCH1,NM_017617.3,885"
"Endogenous,CASP9,XM_011542270.1,264"
"Endogenous,RAD51C,NM_058216.2,222"
"Endogenous,HLA-DMA,NM_006120.3,1137"
"Endogenous,SFRP1,NM_003012.3,7367"
"Endogenous,MAGEA1,NM_004988.4,30"
"Endogenous,ENTPD1,NM_001098175.1,1273"
"Endogenous,ROCK1,NM_005406.2,540"
"Endogenous,FCGR2A,NM_021642.3,741"
"Endogenous,NGFR,NM_002507.3,1472"
"Endogenous,ALDOC,NM_005165.2,632"
"Endogenous,CCNE1,NM_001238.1,117"
"Endogenous,ITGAX,NM_000887.4,460"
"Endogenous,BLM,NM_000057.3,48"
"Endogenous,MLANA,NM_005511.1,32"
"Endogenous,FCGR1A,NM_000566.3,107"
"Endogenous,CD47,NM_001777.3,2127"
"Endogenous,CSF2,NM_000758.3,14"
"Endogenous,CDH5,NM_001795.3,382"
"Endogenous,SLC7A5,NM_003486.6,355"
"Endogenous,GIMAP4,NM_018326.2,764"
"Endogenous,HIF1A,NM_181054.2,1247"
"Endogenous,CDK2,NM_001290230.1,1269"
"Endogenous,PDCD1,NM_005018.1,19"
"Endogenous,ATF3,NM_001674.3,171"
"Endogenous,TIE1,NM_005424.4,327"
"Endogenous,CD44,NM_001001392.1,1581"
"Endogenous,ALDOA,NM_000034.3,13281"
"Endogenous,FAS,NM_000043.3,127"
"Endogenous,MRE11,NM_001330347.1,727"
"Endogenous,IL10,NM_000572.2,24"
"Endogenous,BMP2,NM_001200.3,92"
"Endogenous,BAX,NM_004324.3,902"
"Endogenous,EIF5AL1,NM_001099692.1,19"
"Endogenous,KIT,NM_000222.2,554"
"Endogenous,CDK6,NM_001145306.1,392"
"Endogenous,SPIB,NM_003121.3,27"
"Endogenous,PFKFB3,NM_004566.3,1441"
"Endogenous,CXCL12,NM_199168.3,1541"
"Endogenous,CSF3,NM_000759.3,14"
"Endogenous,KIR2DL3,NM_015868.2,25"
"Endogenous,CD40,NM_001250.5,382"
"Endogenous,IRF1,NM_002198.2,634"
"Endogenous,MGMT,NM_002412.3,779"
"Endogenous,GLUD1,NM_005271.2,4005"
"Endogenous,IFI35,NM_005533.4,484"
"Endogenous,PF4,NM_002619.3,20"
"Endogenous,GPSM3,NM_001276501.1,274"
"Endogenous,SLC2A1,NM_006516.2,147"
"Endogenous,IL2,NM_000586.2,23"
"Endogenous,SNAI1,NM_005985.3,129"
"Endogenous,CTNNB1,NM_001098209.1,12692"
"Endogenous,NOTCH2,NM_024408.3,4075"
"Endogenous,NFKB2,NM_001077494.3,909"
"Endogenous,IL33,NM_033439.3,615"
"Endogenous,TREM2,NM_018965.3,550"
"Endogenous,LAMC2,NM_005562.2,950"
"Endogenous,AQP9,NM_001320635.1,117"
"Endogenous,PRKCA,NM_002737.2,193"
"Endogenous,TSLP,NM_033035.4,51"
"Endogenous,HLA-DOB,NM_002120.3,28"
"Endogenous,ANGPTL4,NM_001039667.2,44"
"Endogenous,TNFRSF25,NM_148970.1,492"
"Endogenous,MS4A4A,NM_001243266.1,375"
"Endogenous,CLEC5A,NM_013252.2,31"
"Endogenous,ITGAM,NM_000632.3,97"
"Endogenous,MMP9,NM_004994.2,812"
"Endogenous,CD7,NM_006137.6,33"
"Endogenous,VHL,NM_198156.1,429"
"Endogenous,OLFML2B,NM_015441.1,223"
"Endogenous,IL6,NM_000600.3,51"
"Endogenous,TNFRSF1A,NM_001065.2,2032"
"Endogenous,DKK1,NM_012242.2,55"
"Endogenous,FANCA,NM_001018112.1,92"
"Endogenous,TNF,NM_000594.3,123"
"Endogenous,LTB,NM_002341.1,111"
"Endogenous,PPARGC1B,NM_001172699.1,155"
"Endogenous,RPS6KB1,NM_001272042.1,583"
"Endogenous,CD38,NM_001775.2,28"
"Endogenous,DTX3L,NM_138287.3,1092"
"Endogenous,TMEM173,NM_198282.1,904"
"Endogenous,NEIL1,NM_024608.2,432"
"Endogenous,HELLS,NM_001289067.1,405"
"Endogenous,TGFBR1,NM_001130916.2,2568"
"Endogenous,MB21D1,NM_138441.2,192"
"Endogenous,CCR2,NM_001123041.2,120"
"Endogenous,MSH2,NM_000251.1,908"
"Endogenous,RAD51,NM_133487.3,47"
"Endogenous,TNFRSF18,NM_148901.1,53"
"Endogenous,FCGR3A/B,NM_000570.4,441"
"Endogenous,STAT1,NM_007315.3,3352"
"Endogenous,CTSS,NM_004079.3,1447"
"Endogenous,PDK1,NM_002610.3,348"
"Endogenous,ITGAV,NM_001144999.2,2623"
"Endogenous,ANGPT1,NM_001199859.1,114"
"Endogenous,BCL6B,NM_181844.3,114"
"Endogenous,CDH2,NM_001792.3,45"
"Endogenous,CSF3R,NM_000760.3,403"
"Endogenous,RELB,NM_006509.3,272"
"Endogenous,CXCL16,NM_001100812.1,756"
"Endogenous,IL6R,NM_000565.3,193"
"Endogenous,PDGFA,NM_033023.4,1154"
"Endogenous,PIK3R1,NM_001242466.1,2252"
"Endogenous,HK1,NM_000188.2,2330"
"Endogenous,AXL,NM_001699.4,343"
"Endogenous,HK2,NM_000189.4,300"
"Endogenous,PDGFRB,NM_002609.3,3181"
"Endogenous,FADD,NM_003824.3,607"
"Endogenous,CD74,NM_001025159.2,15993"
"Endogenous,RIPK2,NM_003821.5,486"
"Endogenous,CD45RB,ENST00000367367.1,155"
"Endogenous,BAD,NM_004322.3,765"
"Endogenous,PKM,NM_001206796.2,8733"
"Endogenous,KLRB1,NM_002258.2,67"
"Endogenous,ADORA2A,NM_000675.5,66"
"Endogenous,IFIT1,NM_001270930.1,693"
"Endogenous,UBE2T,NM_014176.1,102"
"Endogenous,RPL23,NM_000978.3,16936"
"Endogenous,ARG2,NM_001172.3,86"
"Endogenous,TGFBR2,NM_001024847.2,1127"
"Endogenous,CRABP2,NM_001199723.1,3664"
